         749049329 function calls (627525943 primitive calls) in 575.055 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      294  121.412    0.413  121.412    0.413 {method 'poll' of 'select.poll' objects}
      504   56.018    0.111   56.129    0.111 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
128502138/52630567   30.225    0.000   52.413    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
31880760/5742   29.796    0.000   81.904    0.014 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
8275174/3654   25.035    0.000   81.878    0.022 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
   183477   23.443    0.000   32.466    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
     4091   15.775    0.004   15.775    0.004 {built-in method time.sleep}
    21839   15.627    0.001   87.135    0.004 /usr/share/miniconda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
 82762643   14.107    0.000   14.107    0.000 {method 'get' of 'dict' objects}
        3   12.470    4.157   23.435    7.812 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
    43842   12.033    0.000   16.836    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
        3   10.953    3.651   10.964    3.655 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
      478   10.340    0.022   10.340    0.022 {built-in method posix.read}
 52609483   10.088    0.000   10.088    0.000 {method 'write' of '_io.TextIOWrapper' objects}
56127355/52630567    9.998    0.000   61.113    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
    11446    8.780    0.001    8.780    0.001 {method 'read' of '_ssl._SSLSocket' objects}
23324608/23252475    6.464    0.000   22.444    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
      238    6.382    0.027    6.392    0.027 {built-in method _posixsubprocess.fork_exec}
48672170/48671910    5.976    0.000    6.143    0.000 {built-in method builtins.isinstance}
  1943765    5.798    0.000    5.798    0.000 {method 'match' of 're.Pattern' objects}
   748109    5.191    0.000    5.191    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
 20117552    4.993    0.000    4.993    0.000 {built-in method _json.encode_basestring_ascii}
 52545162    4.802    0.000    4.802    0.000 {built-in method builtins.id}
 31975301    4.607    0.000    7.195    0.000 {method 'update' of 'dict' objects}
  9053845    4.286    0.000    6.051    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
  2733354    3.844    0.000    4.804    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:421(object_hook)
2887314/2872485    3.733    0.000    5.688    0.000 {built-in method builtins.sorted}
   183444    3.188    0.000   43.778    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:304(pluck)
     3977    3.133    0.001    3.290    0.001 {method 'read' of '_io.BufferedReader' objects}
  3944623    3.113    0.000   26.087    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
       18    2.879    0.160    3.777    0.210 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:97(<listcomp>)
    23613    2.869    0.000    2.869    0.000 {method 'search' of 're.Pattern' objects}
       16    2.864    0.179   50.526    3.158 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
      103    2.827    0.027    2.832    0.027 {built-in method posix.fork}
    44608    2.606    0.000    2.909    0.000 {method 'read' of '_io.TextIOWrapper' objects}
   542596    2.147    0.000   62.595    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:161(parse_already_pred)
769465/3877    2.100    0.000   81.596    0.021 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
    68229    2.033    0.000    2.334    0.000 {built-in method io.open}
  4892609    1.913    0.000    2.353    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:716(<genexpr>)
      218    1.690    0.008  138.696    0.636 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
   235967    1.642    0.000    1.703    0.000 {built-in method builtins.eval}
18290156/18283565    1.627    0.000    1.633    0.000 {built-in method builtins.len}
