         877549170 function calls (722921752 primitive calls) in 846.040 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      777  128.357    0.165  128.357    0.165 {method 'poll' of 'select.poll' objects}
179216633/75577450   53.712    0.000  100.028    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
8967943/2397   46.021    0.000  130.666    0.055 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
   211096   45.773    0.000   58.690    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
     1105   44.978    0.041   44.978    0.041 {built-in method posix.read}
34401008/2489   41.100    0.000  130.695    0.053 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
    11803   39.884    0.003   39.884    0.003 {built-in method time.sleep}
      433   39.883    0.092   39.897    0.092 {built-in method _posixsubprocess.fork_exec}
      323   29.701    0.092   29.714    0.092 {built-in method posix.fork}
    25362   28.842    0.001  170.930    0.007 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
 83122374   25.798    0.000   25.798    0.000 {method 'get' of 'dict' objects}
 75553035   25.110    0.000   25.110    0.000 {method 'write' of '_io.TextIOWrapper' objects}
81973922/75577450   19.141    0.000  116.141    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
    45668   18.837    0.000   24.409    0.001 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
41610797/41550854   14.639    0.000   51.527    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
        3   13.517    4.506   20.671    6.890 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
   815017   12.528    0.000   12.528    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
    74487   10.537    0.000   11.386    0.000 {built-in method io.open}
    11679   10.356    0.001   10.356    0.001 {method 'read' of '_ssl._SSLSocket' objects}
62898449/62898196    9.853    0.000   10.039    0.000 {built-in method builtins.isinstance}
4567180/4553566    9.048    0.000   13.611    0.000 {built-in method builtins.sorted}
