         939724899 function calls (772955390 primitive calls) in 615.887 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      880  134.180    0.152  134.180    0.152 {method 'poll' of 'select.poll' objects}
    15611   59.834    0.004   59.834    0.004 {built-in method time.sleep}
200654571/86098682   38.025    0.000   70.514    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1314   30.150    0.023   30.150    0.023 {built-in method posix.read}
      572   26.144    0.046   26.159    0.046 {built-in method _posixsubprocess.fork_exec}
33972785/2394   24.470    0.000   71.534    0.030 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
   208537   23.464    0.000   31.374    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:643(add_edges_from)
8856086/2394   22.722    0.000   71.514    0.030 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
    24776   19.573    0.001  114.598    0.005 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
    11626   16.696    0.001   16.696    0.001 {method 'read' of '_ssl._SSLSocket' objects}
      356   15.752    0.044   15.764    0.044 {built-in method posix.fork}
94300074/86098682   13.762    0.000   81.847    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
 82119974   13.579    0.000   13.579    0.000 {method 'get' of 'dict' objects}
 86075134   12.810    0.000   12.810    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    44278   11.370    0.000   15.909    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
52814371/52761778   11.232    0.000   39.818    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
        3    9.036    3.012    9.046    3.015 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
        3    8.989    2.996   18.036    6.012 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
72616802/72616552    7.024    0.000    7.143    0.000 {built-in method builtins.isinstance}
    73512    6.346    0.000    6.638    0.000 {built-in method io.open}
   805404    6.047    0.000    6.047    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:498(remove_node)
 31339592    5.562    0.000    5.562    0.000 {built-in method _json.encode_basestring_ascii}
5544668/5532457    5.118    0.000    7.581    0.000 {built-in method builtins.sorted}
     6081    5.014    0.001    5.174    0.001 {method 'read' of '_io.BufferedReader' objects}
    44577    4.560    0.000    4.814    0.000 {method 'read' of '_io.TextIOWrapper' objects}
 58836557    4.271    0.000    4.271    0.000 {built-in method builtins.id}
       46    3.952    0.086    5.748    0.125 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:98(<listcomp>)
  9680702    3.671    0.000    5.185    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
 30965811    3.387    0.000    3.549    0.000 {method 'update' of 'dict' objects}
   208498    3.146    0.000   42.775    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:304(pluck)
       19    2.912    0.153   50.039    2.634 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
  2834781    2.787    0.000    4.538    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:421(object_hook)
       30    2.658    0.089    2.667    0.089 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
  4139887    2.609    0.000   26.465    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
  7196986    2.534    0.000    3.059    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:666(<genexpr>)
   573190    1.906    0.000   61.856    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:178(parse_already_pred)
824124/673    1.760    0.000   71.485    0.106 /opt/conda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
 18933715    1.733    0.000    1.733    0.000 {method 'items' of 'dict' objects}
     8857    1.637    0.000    1.637    0.000 {method 'acquire' of '_thread.lock' objects}
      204    1.547    0.008  127.471    0.625 /root/repo/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
   185862    1.447    0.000    1.448    0.000 {built-in method posix.stat}
 17044966    1.437    0.000    1.437    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:353(<lambda>)
  1687347    1.352    0.000    1.352    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:705(remove_edge)
 18731889    1.334    0.000    1.334    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:190(_deepcopy_atomic)
  4164766    1.268    0.000   23.862    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:161(_load)
  3798940    1.265    0.000    1.265    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:184(<genexpr>)
  3084581    1.257    0.000    1.523    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:743(<genexpr>)
15763551/15746534    1.242    0.000    1.253    0.000 {built-in method builtins.len}
  3992236    1.105    0.000   27.435    0.000 /opt/conda/envs/run_env/lib/python3.7/_collections_abc.py:657(get)
   592886    1.011    0.000   65.817    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:155(filter)
    24730    1.006    0.000   51.133    0.002 /root/repo/cf-scripts/conda_forge_tick/utils.py:171(_dump)
  9994101    0.816    0.000    0.816    0.000 {method 'append' of 'list' objects}
   621501    0.784    0.000    1.347    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:642(__init__)
   208498    0.782    0.000    2.261    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:320(<setcomp>)
       46    0.754    0.016    1.190    0.026 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:90(<listcomp>)
   824124    0.709    0.000    1.290    0.000 {method '__reduce_ex__' of 'object' objects}
  3365866    0.671    0.000    0.671    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:485(<lambda>)
  1338724    0.669    0.000    1.245    0.000 /opt/conda/envs/run_env/lib/python3.7/_collections_abc.py:742(__iter__)
  1800247    0.618    0.000    0.618    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:177(__getitem__)
   577992    0.593    0.000    0.847    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:545(frozen_to_json_friendly)
2127196/2126746    0.538    0.000    0.540    0.000 {built-in method builtins.getattr}
   559624    0.518    0.000    9.016    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:329(filter)
    42228    0.493    0.000    0.748    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/xonsh/__amalgam__.py:19680(get_detyper)
  1676011    0.467    0.000    0.860    0.000 {built-in method builtins.hasattr}
        1    0.459    0.459   20.309   20.309 /root/repo/cf-scripts/conda_forge_tick/auto_tick.py:318(add_replacement_migrator)
  6294200    0.458    0.000    0.458    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:657(<lambda>)
   274745    0.377    0.000    0.464    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:577(add_edge)
  1677993    0.363    0.000    0.363    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:416(__contains__)
       46    0.358    0.008   78.314    1.702 /root/repo/cf-scripts/conda_forge_tick/utils.py:509(dump_graph)
   711094    0.352    0.000    0.468    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:666(nodes)
   823572    0.350    0.000    0.451    0.000 /opt/conda/envs/run_env/lib/python3.7/copyreg.py:87(__newobj__)
   621520    0.341    0.000    1.688    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:933(__call__)
   593120    0.339    0.000    0.965    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:50(_parse_bad_attr)
  1647400    0.335    0.000    1.540    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:274(<genexpr>)
   621469    0.326    0.000    0.563    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:1827(nbunch_iter)
   330997    0.317    0.000    0.317    0.000 {method 'match' of 're.Pattern' objects}
   849808    0.307    0.000    0.307    0.000 {method 'copy' of 'dict' objects}
  1129189    0.301    0.000    0.458    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:440(<lambda>)
   174130    0.295    0.000    1.752    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:136(__init__)
   540332    0.292    0.000    0.449    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:399(migrator_uid)
   823139    0.282    0.000    0.580    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:187(__getstate__)
   825914    0.272    0.000    0.472    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:649(<lambda>)
   412957    0.265    0.000    0.690    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:1053(__init__)
    25057    0.251    0.000    0.346    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:204(iterencode)
   505031    0.243    0.000    0.300    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:412(default)
      653    0.237    0.000    0.237    0.000 {built-in method builtins.compile}
  3365866    0.234    0.000    0.234    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:655(<lambda>)
   208498    0.231    0.000    0.617    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:319(<setcomp>)
      900    0.208    0.000    0.208    0.000 {built-in method posix.openpty}
    44138    0.207    0.000    0.207    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:284(__init__)
   585072    0.205    0.000    0.205    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:324(migrator_uid)
  1648343    0.203    0.000    0.204    0.000 {built-in method builtins.issubclass}
   825914    0.200    0.000    0.200    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:649(<listcomp>)
