         977950431 function calls (805771497 primitive calls) in 621.453 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      984  126.157    0.128  126.157    0.128 {method 'poll' of 'select.poll' objects}
    16083   55.663    0.003   55.663    0.003 {built-in method time.sleep}
209212630/90037643   40.490    0.000   76.260    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1445   30.738    0.021   30.738    0.021 {built-in method posix.read}
      610   26.022    0.043   26.022    0.043 {built-in method _posixsubprocess.fork_exec}
8884489/2412   25.704    0.000   74.576    0.031 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
34085092/2412   24.665    0.000   74.595    0.031 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
   209113   21.381    0.000   28.938    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
    25129   20.443    0.001  122.229    0.005 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
      403   18.148    0.045   18.161    0.045 {built-in method posix.fork}
98808439/90037643   14.372    0.000   88.016    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
    11823   13.608    0.001   13.608    0.001 {method 'read' of '_ssl._SSLSocket' objects}
 90013680   13.405    0.000   13.405    0.000 {method 'write' of '_io.TextIOWrapper' objects}
 82413318   13.329    0.000   13.329    0.000 {method 'get' of 'dict' objects}
56338745/56267071   12.284    0.000   43.733    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
    44640   11.537    0.000   16.434    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
        3    9.730    3.243   19.155    6.385 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
        3    9.413    3.138    9.423    3.141 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
    73726    7.994    0.000    8.328    0.000 {built-in method io.open}
72932711/72932459    7.178    0.000    7.289    0.000 {built-in method builtins.isinstance}
 32669551    6.897    0.000    6.897    0.000 {built-in method _json.encode_basestring_ascii}
   807628    5.867    0.000    5.867    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
5859009/5845248    5.397    0.000    8.036    0.000 {built-in method builtins.sorted}
     6364    5.104    0.001    5.247    0.001 {method 'read' of '_io.BufferedReader' objects}
    45049    5.077    0.000    5.372    0.000 {method 'read' of '_io.TextIOWrapper' objects}
 59360152    4.254    0.000    4.254    0.000 {built-in method builtins.id}
  9711528    3.687    0.000    5.194    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
 30899132    3.262    0.000    3.352    0.000 {method 'update' of 'dict' objects}
   209074    3.061    0.000   40.234    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:304(pluck)
  4179478    2.953    0.000   28.589    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
       19    2.923    0.154   52.388    2.757 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
       49    2.859    0.058    4.729    0.097 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:97(<listcomp>)
  7443217    2.594    0.000    3.136    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:716(<genexpr>)
   188768    2.516    0.000    2.516    0.000 {built-in method posix.stat}
       30    2.513    0.084    2.522    0.084 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
       49    2.154    0.044    2.601    0.053 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:88(<listcomp>)
   575256    1.924    0.000   65.379    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:161(parse_already_pred)
 19538685    1.759    0.000    1.759    0.000 {method 'items' of 'dict' objects}
826505/724    1.745    0.000   74.551    0.103 /opt/conda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
    10525    1.744    0.000    1.744    0.000 {method 'acquire' of '_thread.lock' objects}
  2851083    1.730    0.000    4.896    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:421(object_hook)
  4204708    1.582    0.000   25.644    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:161(_load)
      215    1.543    0.007  132.095    0.614 /root/repo/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
 17733464    1.523    0.000    1.523    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:353(<lambda>)
  1687139    1.330    0.000    1.330    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:701(remove_edge)
 18794205    1.277    0.000    1.277    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:190(_deepcopy_atomic)
17151363/17133275    1.260    0.000    1.271    0.000 {built-in method builtins.len}
  3085375    1.242    0.000    1.504    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:799(<genexpr>)
  3820886    1.236    0.000    1.236    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:167(<genexpr>)
    25080    1.207    0.000   54.961    0.002 /root/repo/cf-scripts/conda_forge_tick/utils.py:171(_dump)
  4029510    1.138    0.000   29.554    0.000 /opt/conda/envs/run_env/lib/python3.7/_collections_abc.py:657(get)
   594952    0.997    0.000   69.551    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:138(filter)
 10258586    0.846    0.000    0.846    0.000 {method 'append' of 'list' objects}
   209074    0.776    0.000    2.266    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:320(<setcomp>)
   623226    0.774    0.000    1.503    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:687(__init__)
   826505    0.712    0.000    1.326    0.000 {method '__reduce_ex__' of 'object' objects}
  1345597    0.679    0.000    1.238    0.000 /opt/conda/envs/run_env/lib/python3.7/_collections_abc.py:742(__iter__)
  3597776    0.670    0.000    0.670    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:485(<lambda>)
   175326    0.634    0.000    3.167    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:136(__init__)
  1837573    0.606    0.000    0.606    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:186(__getitem__)
   579968    0.593    0.000    0.843    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:545(frozen_to_json_friendly)
  2604658    0.551    0.000    0.928    0.000 {built-in method builtins.hasattr}
2252806/2252326    0.539    0.000    0.541    0.000 {built-in method builtins.getattr}
   561184    0.524    0.000    9.298    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:329(filter)
    38494    0.468    0.000    1.462    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:1519(scan_plain)
   275730    0.458    0.000    0.568    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:574(add_edge)
  6307590    0.458    0.000    0.458    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:703(<lambda>)
        1    0.383    0.383   17.606   17.606 /root/repo/cf-scripts/conda_forge_tick/auto_tick.py:310(add_replacement_migrator)
   825885    0.372    0.000    0.475    0.000 /opt/conda/envs/run_env/lib/python3.7/copyreg.py:87(__newobj__)
       49    0.363    0.007   84.425    1.723 /root/repo/cf-scripts/conda_forge_tick/utils.py:509(dump_graph)
  1682621    0.359    0.000    0.359    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:406(__contains__)
   745373    0.350    0.000    0.482    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:656(nodes)
   623245    0.339    0.000    1.843    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:1019(__call__)
  1652050    0.334    0.000    1.542    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:274(<genexpr>)
   623191    0.331    0.000    0.569    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:1848(nbunch_iter)
   674911    0.329    0.000    0.651    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:198(need_more_tokens)
   304629    0.326    0.000    0.326    0.000 {method 'match' of 're.Pattern' objects}
