         1527778185 function calls (1261752359 primitive calls) in 1319.173 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2649  394.194    0.149  394.194    0.149 {method 'poll' of 'select.poll' objects}
    42179  153.364    0.004  153.364    0.004 {built-in method time.sleep}
     3799   97.047    0.026   97.047    0.026 {built-in method posix.read}
366027186/165235860   76.514    0.000  151.933    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1501   75.165    0.050   75.200    0.050 {built-in method _posixsubprocess.fork_exec}
     1090   55.170    0.051   55.206    0.051 {built-in method posix.fork}
    12088   46.006    0.004   46.006    0.004 {method 'read' of '_ssl._SSLSocket' objects}
    25296   40.349    0.002  241.195    0.010 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
131504245/131353742   30.159    0.000  107.561    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
186223502/165235860   29.292    0.000  174.683    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
165213541   25.793    0.000   25.793    0.000 {method 'write' of '_io.TextIOWrapper' objects}
33913252/2571   25.582    0.000   75.535    0.029 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
8834625/2571   24.891    0.000   75.497    0.029 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
   208004   19.817    0.000   27.142    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:643(add_edges_from)
148868543/148868293   15.670    0.000   15.985    0.000 {built-in method builtins.isinstance}
 82085539   13.406    0.000   13.406    0.000 {method 'get' of 'dict' objects}
12488811/12471181   10.924    0.000   16.174    0.000 {built-in method builtins.sorted}
      119   10.607    0.089   15.602    0.131 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:98(<listcomp>)
        3   10.499    3.500   20.431    6.810 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
        3    9.921    3.307    9.931    3.310 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
    46196    9.762    0.000   14.776    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
 57005981    9.363    0.000    9.363    0.000 {built-in method _json.encode_basestring_ascii}
    82434    8.938    0.000    9.258    0.000 {built-in method io.open}
    12541    7.628    0.001    7.781    0.001 {method 'read' of '_io.BufferedReader' objects}
   803355    5.652    0.000    5.652    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:498(remove_node)
 66483191    5.146    0.000    5.146    0.000 {built-in method builtins.id}
    46450    5.018    0.000    5.277    0.000 {method 'read' of '_io.TextIOWrapper' objects}
 12510427    4.811    0.000    5.798    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:666(<genexpr>)
    21064    4.468    0.000    4.468    0.000 {method 'acquire' of '_thread.lock' objects}
  9657374    3.865    0.000    5.392    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
  2880496    3.381    0.000    5.014    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:410(object_hook)
 31138371    3.283    0.000    3.443    0.000 {method 'update' of 'dict' objects}
  4142142    3.148    0.000   27.088    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:165(__getitem__)
 32803988    2.950    0.000    2.950    0.000 {method 'items' of 'dict' objects}
 30277967    2.864    0.000    2.864    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:353(<lambda>)
   207965    2.780    0.000   37.178    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:293(pluck)
       19    2.666    0.140   45.143    2.376 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
       30    2.620    0.087    2.629    0.088 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
      119    2.072    0.017    3.320    0.028 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:90(<listcomp>)
   571946    1.979    0.000   65.290    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:178(parse_already_pred)
  8686286    1.850    0.000    1.850    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:474(<lambda>)
822257/860    1.802    0.000   75.481    0.088 /opt/conda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
      216    1.630    0.008  138.029    0.639 /root/repo/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
    25171    1.596    0.000   56.411    0.002 /root/repo/cf-scripts/conda_forge_tick/utils.py:160(_dump)
  4167659    1.533    0.000   23.949    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:150(_load)
   202097    1.499    0.000    1.499    0.000 {built-in method posix.stat}
 18709293    1.310    0.000    1.310    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:190(_deepcopy_atomic)
   106834    1.285    0.000    1.952    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/xonsh/__amalgam__.py:19680(get_detyper)
