         705730430 function calls (591139058 primitive calls) in 579.921 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       99  123.996    1.252  123.996    1.252 {method 'poll' of 'select.poll' objects}
      504   60.567    0.120   60.685    0.120 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
31887194/5809   30.148    0.000   84.759    0.015 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
8276456/3711   27.249    0.000   84.732    0.023 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
   183510   26.332    0.000   35.695    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
115239401/46207964   26.164    0.000   44.319    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
 82816470   14.365    0.000   14.365    0.000 {method 'get' of 'dict' objects}
        3   13.856    4.619   13.868    4.623 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
        3   13.233    4.411   27.103    9.034 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
    21936   13.159    0.001   76.528    0.003 /usr/share/miniconda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
    17138   11.820    0.001   11.820    0.001 {method 'read' of '_ssl._SSLSocket' objects}
    44329   11.712    0.000   16.118    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
 46186896    9.843    0.000    9.843    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     2805    8.520    0.003    8.520    0.003 {built-in method time.sleep}
48703472/46207964    8.474    0.000   51.854    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
      246    8.372    0.034    8.372    0.034 {built-in method posix.read}
  1937273    5.911    0.000    5.911    0.000 {method 'match' of 're.Pattern' objects}
   748240    5.768    0.000    5.768    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
      185    5.628    0.030    5.638    0.030 {built-in method _posixsubprocess.fork_exec}
43452150/43451890    5.448    0.000    5.599    0.000 {built-in method builtins.isinstance}
    45231    4.956    0.000    5.317    0.000 {method 'read' of '_io.TextIOWrapper' objects}
 31985102    4.933    0.000    7.719    0.000 {method 'update' of 'dict' objects}
 51921527    4.794    0.000    4.794    0.000 {built-in method builtins.id}
16878399/16780688    4.513    0.000   15.876    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
  9055610    4.346    0.000    6.092    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
 18041163    4.314    0.000    4.314    0.000 {built-in method _json.encode_basestring_ascii}
2313131/2296615    3.653    0.000    5.489    0.000 {built-in method builtins.sorted}
   183477    3.647    0.000   47.963    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:304(pluck)
  2750066    3.302    0.000    4.407    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:421(object_hook)
     5281    3.152    0.001    4.813    0.001 {method 'read' of '_io.BufferedReader' objects}
  3947525    3.129    0.000   28.501    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
       16    3.090    0.193   52.582    3.286 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
    24024    3.003    0.000    3.003    0.000 {method 'search' of 're.Pattern' objects}
       12    2.510    0.209    3.126    0.261 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:97(<listcomp>)
    68577    2.494    0.000    2.873    0.000 {built-in method io.open}
   542702    2.332    0.000   65.392    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:161(parse_already_pred)
769825/4003    2.059    0.000   84.427    0.021 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
   235988    1.885    0.000    1.948    0.000 {built-in method builtins.eval}
      222    1.878    0.008  146.480    0.660 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
  4439674    1.807    0.000    2.198    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:716(<genexpr>)
 17628587    1.701    0.000    1.701    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:190(_deepcopy_atomic)
18261350/18256014    1.700    0.000    1.704    0.000 {built-in method builtins.len}
    33432    1.699    0.000    1.799    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:204(iterencode)
     8721    1.683    0.000    9.969    0.001 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:191(select_lines)
  3969849    1.657    0.000   25.381    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:161(_load)
  3248662    1.643    0.000    2.571    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:207(get_exact_value)
  3691749    1.423    0.000    1.423    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:167(<genexpr>)
  3809329    1.413    0.000   29.804    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/_collections_abc.py:657(get)
 12037004    1.382    0.000    1.382    0.000 {method 'items' of 'dict' objects}
    21921    1.283    0.000   54.881    0.003 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:171(_dump)
  2655782    1.283    0.000    1.567    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:799(<genexpr>)
   561394    1.248    0.000   70.153    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:138(filter)
  1366358    1.197    0.000    1.197    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:701(remove_edge)
    11888    1.172    0.000    6.538    0.001 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:1189(ms_depends)
 11025504    1.149    0.000    1.149    0.000 {method 'append' of 'list' objects}
    14427    1.081    0.000    1.081    0.000 {method 'findall' of 're.Pattern' objects}
        4    1.019    0.255    1.084    0.271 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/libarchive/extract.py:43(extract_entries)
  1065015    1.012    0.000    2.233    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/os.py:676(__getitem__)
 10089165    0.998    0.000    0.998    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:353(<lambda>)
3667061/3666951    0.964    0.000    0.965    0.000 {built-in method builtins.getattr}
  3245518    0.937    0.000    3.501    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:423(name)
   192742    0.885    0.000    0.885    0.000 {built-in method posix.stat}
  1216217    0.874    0.000    1.429    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/_collections_abc.py:742(__iter__)
   769825    0.826    0.000    1.529    0.000 {method '__reduce_ex__' of 'object' objects}
   543958    0.812    0.000    1.605    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:687(__init__)
   183477    0.812    0.000    2.463    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:320(<setcomp>)
   547384    0.753    0.000    1.097    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:545(frozen_to_json_friendly)
     9003    0.732    0.000    4.634    0.001 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:73(ns_cfg)
      568    0.730    0.001    0.730    0.001 {built-in method builtins.compile}
   531024    0.709    0.000   11.140    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:329(filter)
  2811842    0.702    0.000    1.182    0.000 {built-in method builtins.hasattr}
    39692    0.622    0.000    1.917    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:1519(scan_plain)
  3248662    0.621    0.000    0.621    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:842(exact_value)
   787834    0.607    0.000    1.335    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/nodes.py:155(iter_child_nodes)
        1    0.583    0.583   25.186   25.186 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/auto_tick.py:313(add_replacement_migrator)
   138776    0.539    0.000    1.179    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/lexer.py:662(tokeniter)
  5642798    0.515    0.000    0.515    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:703(<lambda>)
  1328174    0.512    0.000    0.512    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:186(__getitem__)
  2100575    0.486    0.000    0.487    0.000 {method 'decode' of 'bytes' objects}
  2080828    0.474    0.000    0.928    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/os.py:758(decode)
   284395    0.456    0.000    0.563    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:574(add_edge)
   678105    0.455    0.000    0.886    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:198(need_more_tokens)
  1065861    0.449    0.000    0.753    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/os.py:754(encode)
     1060    0.442    0.000    0.442    0.000 {method 'recv_into' of '_socket.socket' objects}
   311576    0.434    0.000    0.468    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/reader.py:99(forward)
   764924    0.412    0.000    0.535    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/copyreg.py:87(__newobj__)
   543974    0.410    0.000    2.015    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:1019(__call__)
  1048800    0.410    0.000    0.868    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/os.py:699(__iter__)
295019/126    0.400    0.000    1.369    0.011 /usr/share/miniconda/envs/run_env/lib/python3.7/ast.py:273(generic_visit)
   512592    0.384    0.000    0.583    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:399(migrator_uid)
   561616    0.383    0.000    1.104    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:45(_parse_bad_attr)
  1532980    0.377    0.000    1.860    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:274(<genexpr>)
  1396424    0.372    0.000    0.560    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/nodes.py:137(iter_fields)
   543954    0.371    0.000    0.616    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:1848(nbunch_iter)
   182102    0.368    0.000    0.390    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/reader.py:163(forward)
   806298    0.367    0.000    0.367    0.000 {method 'copy' of 'dict' objects}
  1519336    0.366    0.000    0.366    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:406(__contains__)
    45286    0.358    0.000    1.370    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/parser.py:343(parse_node)
   764185    0.352    0.000    0.703    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:187(__getstate__)
     3591    0.352    0.000    0.352    0.000 {method 'acquire' of '_thread.lock' objects}
    22906    0.349    0.000    0.527    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/xonsh/__amalgam__.py:19775(get_detyper)
   370952    0.345    0.000    3.902    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:166(check_token)
   720938    0.343    0.000    0.563    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:695(<lambda>)
   698524    0.331    0.000    0.346    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:343(stale_possible_simple_keys)
   986544    0.325    0.000    0.481    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:440(<lambda>)
  1552663    0.319    0.000    0.319    0.000 {method 'startswith' of 'str' objects}
   122988    0.316    0.000    1.396    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:36(__call__)
   122988    0.307    0.000    0.691    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:397(_build_components)
    44288    0.303    0.000    0.303    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/decoder.py:284(__init__)
    27684    0.302    0.000    1.250    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/scanner.py:1270(scan_plain)
   360469    0.302    0.000    0.812    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:1145(__init__)
   200022    0.297    0.000    0.664    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:1146(name)
   451345    0.286    0.000    0.567    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/scanner.py:145(need_more_tokens)
   203954    0.285    0.000    0.285    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:531(check_bad_chrs)
   183477    0.284    0.000    0.740    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:319(<setcomp>)
295834/126    0.280    0.000    1.370    0.011 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/depfinder/main.py:106(visit)
  1149999    0.269    0.000    0.370    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:86(flow_level)
        1    0.265    0.265  100.666  100.666 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/auto_tick.py:645(initialize_migrators)
   323796    0.262    0.000    0.339    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:656(nodes)
    44849    0.254    0.000    0.254    0.000 {built-in method _codecs.utf_8_decode}
260213/442    0.249    0.000    3.335    0.008 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/visitor.py:28(visit)
   360469    0.248    0.000    0.325    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:362(pred)
   552367    0.247    0.000    0.247    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:307(migrator_uid)
    65147    0.247    0.000    3.586    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:215(fetch_more_tokens)
   274335    0.243    0.000    3.028    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/scanner.py:113(check_token)
   360469    0.239    0.000    0.543    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:797(__iter__)
  1150152    0.238    0.000    0.238    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/reader.py:87(peek)
  1081562    0.237    0.000    0.243    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/reader.py:132(peek)
       12    0.237    0.020    0.383    0.032 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:88(<listcomp>)
    73174    0.237    0.000    0.374    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/nodes.py:115(__init__)
    22126    0.237    0.000   37.845    0.002 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/version.py:382(filter)
   908700    0.235    0.000    0.235    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:485(<lambda>)
   167312    0.231    0.000    1.106    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:136(__init__)
    39252    0.227    0.000    0.234    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/version.py:281(__lt__)
    44329    0.226    0.000   17.015    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/__init__.py:299(loads)
   360469    0.225    0.000    1.037    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:903(in_edges)
   458929    0.222    0.000    0.222    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/scanner.py:279(stale_possible_simple_keys)
       11    0.221    0.020    0.221    0.020 {method 'do_handshake' of '_ssl._SSLSocket' objects}
