         1558768893 function calls (1289751951 primitive calls) in 1321.262 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2721  365.184    0.134  365.184    0.134 {method 'poll' of 'select.poll' objects}
    43049  152.023    0.004  152.023    0.004 {built-in method time.sleep}
     3860   98.880    0.026   98.880    0.026 {built-in method posix.read}
     1504   76.249    0.051   76.286    0.051 {built-in method _posixsubprocess.fork_exec}
368811410/166618607   76.013    0.000  150.680    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1124   56.151    0.050   56.186    0.050 {built-in method posix.fork}
    30382   44.116    0.001   44.116    0.001 {method 'read' of '_ssl._SSLSocket' objects}
    25407   39.561    0.002  238.322    0.009 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
132681579/132590729   30.009    0.000  106.960    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
187725185/166618607   29.405    0.000  173.529    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
34052030/2668   26.000    0.000   77.373    0.029 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
8869540/2668   25.242    0.000   77.336    0.029 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
166596335   24.884    0.000   24.884    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   208787   22.404    0.000   30.130    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:643(add_edges_from)
152570087/152569835   15.534    0.000   15.858    0.000 {built-in method builtins.isinstance}
 82436713   14.424    0.000   14.424    0.000 {method 'get' of 'dict' objects}
    15103   13.312    0.001   13.642    0.001 {method 'read' of '_io.BufferedReader' objects}
    82173   12.643    0.000   12.964    0.000 {built-in method io.open}
    45213   12.462    0.000   17.232    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
12609205/12594886   10.760    0.000   15.814    0.000 {built-in method builtins.sorted}
        3    9.848    3.283   19.627    6.542 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
        3    9.763    3.254    9.778    3.259 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
 57481438    9.291    0.000    9.291    0.000 {built-in method _json.encode_basestring_ascii}
      120    7.438    0.062   12.369    0.103 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:98(<listcomp>)
        5    7.262    1.452    7.354    1.471 /opt/conda/envs/run_env/lib/python3.7/site-packages/libarchive/extract.py:43(extract_entries)
   806362    6.391    0.000    6.391    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:498(remove_node)
    46009    5.507    0.000    5.778    0.000 {method 'read' of '_io.TextIOWrapper' objects}
 66814513    5.290    0.000    5.290    0.000 {built-in method builtins.id}
      120    4.936    0.041    6.118    0.051 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:90(<listcomp>)
