         883973898 function calls (726711178 primitive calls) in 626.107 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      717  159.612    0.223  159.612    0.223 {method 'poll' of 'select.poll' objects}
    14299   63.561    0.004   63.561    0.004 {built-in method time.sleep}
184693093/78480251   35.628    0.000   65.464    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1105   27.627    0.025   27.627    0.025 {built-in method posix.read}
34010939/2380   24.885    0.000   73.631    0.031 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
8865878/2380   23.655    0.000   73.611    0.031 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
      504   23.055    0.046   23.066    0.046 {built-in method _posixsubprocess.fork_exec}
   208752   21.600    0.000   29.129    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:643(add_edges_from)
    24710   18.135    0.001  106.285    0.004 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
 82215753   13.914    0.000   13.914    0.000 {method 'get' of 'dict' objects}
85485293/78480251   12.606    0.000   75.913    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
    11534   12.502    0.001   12.502    0.001 {method 'read' of '_ssl._SSLSocket' objects}
      273   12.236    0.045   12.245    0.045 {built-in method posix.fork}
 78456888   11.869    0.000   11.869    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    72924   11.354    0.000   11.649    0.000 {built-in method io.open}
    44231   10.620    0.000   14.703    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
        3   10.137    3.379   10.147    3.382 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
45350270/45298915   10.099    0.000   35.429    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
        3    9.053    3.018   19.201    6.400 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
65450470/65450218    6.425    0.000    6.538    0.000 {built-in method builtins.isinstance}
   806217    6.042    0.000    6.042    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:498(remove_node)
     5463    5.568    0.001    5.714    0.001 {method 'read' of '_io.BufferedReader' objects}
 28860587    5.346    0.000    5.346    0.000 {built-in method _json.encode_basestring_ascii}
4883613/4871091    4.811    0.000    7.100    0.000 {built-in method builtins.sorted}
 58160005    4.230    0.000    4.230    0.000 {built-in method builtins.id}
    44546    3.941    0.000    4.178    0.000 {method 'read' of '_io.TextIOWrapper' objects}
  9691329    3.729    0.000    5.253    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
 31014865    3.220    0.000    3.381    0.000 {method 'update' of 'dict' objects}
   208713    2.935    0.000   39.851    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:304(pluck)
  4140837    2.862    0.000   24.965    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
