         1786456649 function calls (1479423415 primitive calls) in 1620.108 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3259  481.817    0.148  481.817    0.148 {method 'poll' of 'select.poll' objects}
    50695  176.713    0.003  176.713    0.003 {built-in method time.sleep}
     4644  120.427    0.026  120.427    0.026 {built-in method posix.read}
     1825   97.926    0.054   97.971    0.054 {built-in method _posixsubprocess.fork_exec}
428623488/195144882   90.499    0.000  180.852    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1328   68.044    0.051   68.086    0.051 {built-in method posix.fork}
    22652   64.677    0.003   64.677    0.003 {method 'read' of '_ssl._SSLSocket' objects}
    26130   47.388    0.002  285.965    0.011 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
160499099/160406062   36.423    0.000  130.440    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
220731460/195144882   34.974    0.000  207.833    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
195125598   30.335    0.000   30.335    0.000 {method 'write' of '_io.TextIOWrapper' objects}
33615360/3099   25.099    0.000   75.307    0.024 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
    87605   25.094    0.000   25.497    0.000 {built-in method io.open}
8749807/2981   24.736    0.000   75.259    0.025 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
   211472   23.232    0.000   31.264    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
184014410/184014156   19.352    0.000   19.753    0.000 {built-in method builtins.isinstance}
    16310   15.123    0.001   15.400    0.001 {method 'read' of '_io.BufferedReader' objects}
 82286017   14.677    0.000   14.677    0.000 {method 'get' of 'dict' objects}
15073489/15057848   13.023    0.000   19.036    0.000 {built-in method builtins.sorted}
        3   11.179    3.726   18.532    6.177 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
    46225   10.993    0.000   17.301    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
 66770451   10.874    0.000   10.874    0.000 {built-in method _json.encode_basestring_ascii}
      144   10.679    0.074   16.649    0.116 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:97(<listcomp>)
        3    7.339    2.446    7.351    2.450 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
   794581    6.473    0.000    6.473    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
    48340    6.362    0.000    6.682    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      144    5.705    0.040    7.217    0.050 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:88(<listcomp>)
 14601766    5.692    0.000    6.821    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:716(<genexpr>)
    26289    5.605    0.000    5.605    0.000 {method 'acquire' of '_thread.lock' objects}
 68871822    5.431    0.000    5.431    0.000 {built-in method builtins.id}
   211433    4.374    0.000   44.328    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:304(pluck)
  9566912    3.763    0.000    5.326    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
     3612    3.694    0.001    3.694    0.001 {built-in method builtins.compile}
 37960091    3.418    0.000    3.418    0.000 {method 'items' of 'dict' objects}
 31142066    3.417    0.000    3.799    0.000 {method 'update' of 'dict' objects}
 35320907    3.326    0.000    3.326    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:353(<lambda>)
       30    3.256    0.109    3.267    0.109 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
  2902729    3.169    0.000    6.308    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:421(object_hook)
       19    3.045    0.160   53.645    2.823 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
   214075    3.032    0.000    3.032    0.000 {built-in method posix.stat}
  4101282    2.948    0.000   30.553    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
 10694304    2.137    0.000    2.137    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:485(<lambda>)
