         1141243512 function calls (940499880 primitive calls) in 866.182 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1682  200.894    0.119  200.894    0.119 {method 'poll' of 'select.poll' objects}
    24603   91.436    0.004   91.436    0.004 {built-in method time.sleep}
     2359   59.085    0.025   59.085    0.025 {built-in method posix.read}
257323565/113233284   51.892    0.000  101.003    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
      888   47.189    0.053   47.215    0.053 {built-in method _posixsubprocess.fork_exec}
      705   36.496    0.052   36.521    0.052 {built-in method posix.fork}
    25040   26.612    0.001  160.936    0.006 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
33980059/2456   25.364    0.000   75.264    0.031 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
    11874   25.042    0.002   25.042    0.002 {method 'read' of '_ssl._SSLSocket' objects}
8856060/2456   24.027    0.000   75.238    0.031 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
   208537   23.947    0.000   31.859    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:643(add_edges_from)
125775706/113233284   19.245    0.000  116.287    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
79670039/79612234   18.685    0.000   65.605    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
113210033   17.656    0.000   17.656    0.000 {method 'write' of '_io.TextIOWrapper' objects}
 82149285   14.655    0.000   14.655    0.000 {method 'get' of 'dict' objects}
    44490   11.323    0.000   15.281    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
98694623/98694373   10.222    0.000   10.423    0.000 {built-in method builtins.isinstance}
     8267    9.652    0.001    9.809    0.001 {method 'read' of '_io.BufferedReader' objects}
        3    9.236    3.079   17.908    5.969 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
        3    8.661    2.887    8.671    2.890 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
    76182    7.707    0.000    8.038    0.000 {built-in method io.open}
7922846/7910172    7.517    0.000   10.988    0.000 {built-in method builtins.sorted}
 40151366    7.006    0.000    7.006    0.000 {built-in method _json.encode_basestring_ascii}
   805394    6.548    0.000    6.548    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:498(remove_node)
       71    6.397    0.090    9.428    0.133 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:98(<listcomp>)
 61491666    4.680    0.000    4.680    0.000 {built-in method builtins.id}
    44769    4.191    0.000    4.454    0.000 {method 'read' of '_io.TextIOWrapper' objects}
   208498    4.116    0.000   44.636    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:304(pluck)
  9680738    3.871    0.000    5.470    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
  9026105    3.525    0.000    4.258    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:666(<genexpr>)
