         940934325 function calls (770986102 primitive calls) in 620.214 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1278  119.553    0.094  119.553    0.094 {method 'poll' of 'select.poll' objects}
    17693   62.840    0.004   62.840    0.004 {built-in method time.sleep}
207054950/89219811   40.945    0.000   76.825    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1746   34.762    0.020   34.762    0.020 {built-in method posix.read}
      617   27.204    0.044   27.204    0.044 {built-in method _posixsubprocess.fork_exec}
33374757/2388   25.228    0.000   73.714    0.031 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
      550   24.216    0.044   24.238    0.044 {built-in method posix.fork}
8706573/2388   23.116    0.000   73.694    0.031 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
    24738   20.897    0.001  124.595    0.005 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
   206144   17.687    0.000   23.974    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:643(add_edges_from)
    11681   16.583    0.001   16.583    0.001 {method 'read' of '_ssl._SSLSocket' objects}
98064583/89219811   14.916    0.000   89.004    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
 89196348   14.314    0.000   14.314    0.000 {method 'write' of '_io.TextIOWrapper' objects}
 78243110   13.335    0.000   13.335    0.000 {method 'get' of 'dict' objects}
56008001/55970773   12.612    0.000   44.560    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
    44142   10.775    0.000   14.500    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
        3    9.481    3.160   17.368    5.789 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
        3    7.876    2.625    7.886    2.629 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
71696876/71696626    7.468    0.000    7.576    0.000 {built-in method builtins.isinstance}
    72792    6.672    0.000    6.970    0.000 {built-in method io.open}
 32303638    5.953    0.000    5.953    0.000 {built-in method _json.encode_basestring_ascii}
   796317    5.827    0.000    5.827    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:498(remove_node)
5835768/5821763    5.647    0.000    8.409    0.000 {built-in method builtins.sorted}
     6430    4.980    0.001    5.152    0.001 {method 'read' of '_io.BufferedReader' objects}
       50    4.411    0.088    6.441    0.129 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:98(<listcomp>)
 58254494    4.251    0.000    4.251    0.000 {built-in method builtins.id}
  9522016    3.742    0.000    5.251    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
    44428    3.549    0.000    3.789    0.000 {method 'read' of '_io.TextIOWrapper' objects}
  4067757    3.140    0.000   24.889    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:164(__getitem__)
 25726400    2.731    0.000    2.876    0.000 {method 'update' of 'dict' objects}
   206105    2.625    0.000   33.938    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:248(pluck)
  7159927    2.582    0.000    3.117    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:666(<genexpr>)
       30    2.573    0.086    2.583    0.086 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
       19    2.445    0.129   44.593    2.347 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
 19326279    2.228    0.000    2.228    0.000 {method 'items' of 'dict' objects}
   567888    1.976    0.000   62.908    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:178(parse_already_pred)
