         731735829 function calls (612174375 primitive calls) in 546.172 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100   97.690    0.977   97.690    0.977 {method 'poll' of 'select.poll' objects}
      504   59.482    0.118   59.596    0.118 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
34915315/5594   32.502    0.000   92.231    0.016 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
9067320/3570   30.122    0.000   92.205    0.026 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
118685986/47771612   26.406    0.000   44.986    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
   184857   24.118    0.000   33.035    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
 88641610   14.405    0.000   14.405    0.000 {method 'get' of 'dict' objects}
    22287   13.494    0.001   76.768    0.003 /usr/share/miniconda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
    42641   12.944    0.000   15.176    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
     2937   12.673    0.004   12.673    0.004 {built-in method time.sleep}
        3   12.197    4.066   23.290    7.763 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
        3   11.080    3.693   11.091    3.697 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
    11590   10.575    0.001   10.575    0.001 {method 'read' of '_ssl._SSLSocket' objects}
 47750269   10.034    0.000   10.034    0.000 {method 'write' of '_io.TextIOWrapper' objects}
50412314/47771612    8.892    0.000   52.910    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
      248    8.507    0.034    8.507    0.034 {built-in method posix.read}
   820571    5.516    0.000    5.516    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
43404404/43404141    5.291    0.000    5.428    0.000 {built-in method builtins.isinstance}
 56783300    5.199    0.000    5.199    0.000 {built-in method builtins.id}
      189    5.064    0.027    5.069    0.027 {built-in method _posixsubprocess.fork_exec}
  1716152    4.940    0.000    4.940    0.000 {method 'match' of 're.Pattern' objects}
 32491983    4.864    0.000    7.183    0.000 {method 'update' of 'dict' objects}
  9917108    4.735    0.000    6.652    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
17962623/17891886    4.676    0.000   16.481    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
 18599331    4.414    0.000    4.414    0.000 {built-in method _json.encode_basestring_ascii}
2482732/2467515    3.745    0.000    5.514    0.000 {built-in method builtins.sorted}
    43430    3.653    0.000    3.979    0.000 {method 'read' of '_io.TextIOWrapper' objects}
   184824    3.439    0.000   44.514    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:304(pluck)
  4366141    3.382    0.000   26.665    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
       16    3.016    0.189   50.217    3.139 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
     3526    2.991    0.001    3.172    0.001 {method 'read' of '_io.BufferedReader' objects}
   611174    2.591    0.000   65.978    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:161(parse_already_pred)
    67132    2.543    0.000    2.909    0.000 {built-in method io.open}
    21140    2.490    0.000    2.490    0.000 {method 'search' of 're.Pattern' objects}
841664/3652    2.282    0.000   91.930    0.025 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
    22271    2.181    0.000   54.543    0.002 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:171(_dump)
      231    1.995    0.009  153.625    0.665 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
 19293330    1.803    0.000    1.803    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:190(_deepcopy_atomic)
  4388817    1.734    0.000   23.291    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:161(_load)
  4567736    1.724    0.000    2.117    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:716(<genexpr>)
  4175205    1.586    0.000    1.586    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:167(<genexpr>)
 13036000    1.556    0.000    1.556    0.000 {method 'items' of 'dict' objects}
18442212/18436898    1.553    0.000    1.557    0.000 {built-in method builtins.len}
  4225191    1.542    0.000   28.091    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/_collections_abc.py:657(get)
    89111    1.533    0.000    1.563    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/resolver.py:143(resolve)
  3220354    1.475    0.000    2.357    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:207(get_exact_value)
   632382    1.409    0.000   71.346    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:138(filter)
     7394    1.366    0.000    8.002    0.001 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:191(select_lines)
   180622    1.338    0.000    1.386    0.000 {built-in method builtins.eval}
  2657424    1.212    0.000    1.487    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:799(<genexpr>)
 11713745    1.205    0.000    1.205    0.000 {method 'append' of 'list' objects}
    11516    1.090    0.000    6.096    0.001 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:1189(ms_depends)
  2723145    1.074    0.000    2.232    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:421(object_hook)
  1363726    1.055    0.000    1.055    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:701(remove_edge)
