         1214702220 function calls (998290156 primitive calls) in 891.509 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2000  197.859    0.099  197.859    0.099 {method 'poll' of 'select.poll' objects}
    30184  109.689    0.004  109.689    0.004 {built-in method time.sleep}
     2784   61.221    0.022   61.221    0.022 {built-in method posix.read}
284491855/126381789   57.439    0.000  112.043    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1039   47.362    0.046   47.362    0.046 {built-in method _posixsubprocess.fork_exec}
      855   38.816    0.045   38.843    0.045 {built-in method posix.fork}
    24778   29.275    0.001  178.214    0.007 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
    11788   24.966    0.002   24.966    0.002 {method 'read' of '_ssl._SSLSocket' objects}
33481197/2486   24.842    0.000   74.161    0.030 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
8732175/2486   24.192    0.000   74.134    0.030 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
141191723/126381789   21.696    0.000  129.128    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
93029313/92995541   21.185    0.000   74.706    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
126359046   19.455    0.000   19.455    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   206869   17.681    0.000   23.979    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:643(add_edges_from)
 78506341   13.450    0.000   13.450    0.000 {method 'get' of 'dict' objects}
    75281   11.974    0.000   12.268    0.000 {built-in method io.open}
     9543   11.180    0.001   11.322    0.001 {method 'read' of '_io.BufferedReader' objects}
104718402/104718152   10.921    0.000   11.093    0.000 {built-in method builtins.isinstance}
    44118   10.141    0.000   13.197    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
        3    9.059    3.020   16.099    5.366 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
9110799/9099962    8.111    0.000   11.794    0.000 {built-in method builtins.sorted}
 44336465    7.445    0.000    7.445    0.000 {built-in method _json.encode_basestring_ascii}
        3    7.029    2.343    7.038    2.346 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
       85    6.641    0.078   10.120    0.119 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:98(<listcomp>)
   799128    6.092    0.000    6.092    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:498(remove_node)
    17400    4.709    0.000    4.709    0.000 {method 'acquire' of '_thread.lock' objects}
 62063319    4.675    0.000    4.675    0.000 {built-in method builtins.id}
  9697310    3.725    0.000    4.451    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:666(<genexpr>)
