         969871520 function calls (797892400 primitive calls) in 635.749 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      899  106.879    0.119  106.879    0.119 {method 'poll' of 'select.poll' objects}
    17758   65.480    0.004   65.480    0.004 {built-in method time.sleep}
209594287/90342962   42.165    0.000   78.759    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1365   35.606    0.026   35.606    0.026 {built-in method posix.read}
      616   28.925    0.047   28.941    0.047 {built-in method _posixsubprocess.fork_exec}
33850859/2384   25.475    0.000   76.760    0.032 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
8824275/2384   24.061    0.000   76.741    0.032 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
    24859   21.570    0.001  127.428    0.005 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
    73792   21.279    0.000   21.579    0.000 {built-in method io.open}
   207864   20.081    0.000   27.593    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:643(add_edges_from)
      360   17.167    0.048   17.178    0.048 {built-in method posix.fork}
99208920/90342962   15.110    0.000   91.133    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
    11565   14.511    0.001   14.511    0.001 {method 'read' of '_ssl._SSLSocket' objects}
 90319148   14.297    0.000   14.297    0.000 {method 'write' of '_io.TextIOWrapper' objects}
 81875803   13.479    0.000   13.479    0.000 {method 'get' of 'dict' objects}
56911067/56857758   13.084    0.000   45.757    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
        3   10.921    3.640   10.930    3.643 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
    44249   10.116    0.000   13.804    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
        3    8.825    2.942   19.757    6.586 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
     6454    8.178    0.001    8.336    0.001 {method 'read' of '_io.BufferedReader' objects}
76505921/76505671    7.715    0.000    7.850    0.000 {built-in method builtins.isinstance}
 32728090    5.994    0.000    5.994    0.000 {built-in method _json.encode_basestring_ascii}
   802843    5.780    0.000    5.780    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:498(remove_node)
5907341/5895119    5.776    0.000    8.510    0.000 {built-in method builtins.sorted}
    44537    4.500    0.000    4.752    0.000 {method 'read' of '_io.TextIOWrapper' objects}
 59051906    4.461    0.000    4.461    0.000 {built-in method builtins.id}
       50    4.443    0.089    6.530    0.131 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:98(<listcomp>)
  9646314    3.815    0.000    5.404    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
821547/677    3.776    0.000   76.716    0.113 /opt/conda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
 31074308    3.356    0.000    3.517    0.000 {method 'update' of 'dict' objects}
   207825    2.858    0.000   38.111    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:293(pluck)
  4130676    2.754    0.000   24.556    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:165(__getitem__)
       19    2.722    0.143   49.258    2.593 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
  7461265    2.699    0.000    3.301    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:666(<genexpr>)
       30    2.435    0.081    2.444    0.081 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
   571652    2.024    0.000   78.359    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:178(parse_already_pred)
     8823    1.988    0.000    1.988    0.000 {method 'acquire' of '_thread.lock' objects}
   185275    1.970    0.000    1.970    0.000 {built-in method posix.stat}
 19627505    1.871    0.000    1.871    0.000 {method 'items' of 'dict' objects}
      204    1.644    0.008  148.343    0.727 /root/repo/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
 17762832    1.619    0.000    1.619    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:353(<lambda>)
  2825354    1.534    0.000    3.688    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:410(object_hook)
 18665832    1.378    0.000    1.378    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:190(_deepcopy_atomic)
  4155509    1.349    0.000   21.808    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:150(_load)
  3771810    1.293    0.000    1.293    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:184(<genexpr>)
    24809    1.265    0.000   67.722    0.003 /root/repo/cf-scripts/conda_forge_tick/utils.py:160(_dump)
