         764123371 function calls (628323531 primitive calls) in 558.802 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      227  153.127    0.675  153.127    0.675 {method 'poll' of 'select.poll' objects}
   210011   28.629    0.000   37.756    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
9153324/2581   28.005    0.000   81.702    0.032 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
143376698/58313275   26.969    0.000   46.615    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
35119219/2581   26.431    0.000   81.722    0.032 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
    14575   24.337    0.002   24.337    0.002 {method 'read' of '_ssl._SSLSocket' objects}
     6064   20.669    0.003   20.669    0.003 {built-in method time.sleep}
      468   18.111    0.039   18.111    0.039 {built-in method posix.read}
 84555449   15.767    0.000   15.767    0.000 {method 'get' of 'dict' objects}
      312   15.494    0.050   15.501    0.050 {built-in method _posixsubprocess.fork_exec}
    25665   13.484    0.001   77.897    0.003 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
    45858   11.935    0.000   16.004    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
        3   10.594    3.531   19.255    6.418 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
    75259    9.748    0.000   10.092    0.000 {built-in method io.open}
 58288721    9.488    0.000    9.488    0.000 {method 'write' of '_io.TextIOWrapper' objects}
62028157/58313275    9.011    0.000   54.515    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
        3    8.650    2.883    8.659    2.886 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
   832594    6.850    0.000    6.850    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
    47223    5.760    0.000    6.057    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     3959    5.566    0.001    5.742    0.001 {method 'read' of '_io.BufferedReader' objects}
24395560/24306539    5.405    0.000   18.824    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
49215427/49215174    4.788    0.000    4.878    0.000 {built-in method builtins.isinstance}
 22428812    4.609    0.000    4.609    0.000 {built-in method _json.encode_basestring_ascii}
 57848799    4.320    0.000    4.320    0.000 {built-in method builtins.id}
   209972    4.081    0.000   50.766    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:304(pluck)
 10006475    4.051    0.000    5.684    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
 31053954    3.856    0.000    3.990    0.000 {method 'update' of 'dict' objects}
3061113/3043562    3.477    0.000    5.340    0.000 {built-in method builtins.sorted}
       19    3.011    0.158   55.341    2.913 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
  4331931    2.992    0.000   29.289    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
       30    2.740    0.091    2.749    0.092 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
     1180    2.168    0.002    2.168    0.002 {built-in method builtins.compile}
   189250    2.035    0.000    2.035    0.000 {built-in method posix.stat}
   598448    2.000    0.000   66.360    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:161(parse_already_pred)
852231/1105    1.893    0.000   81.662    0.074 /opt/conda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
  5265769    1.891    0.000    2.299    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:716(<genexpr>)
  2892644    1.765    0.000    4.069    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:421(object_hook)
      247    1.675    0.007  140.525    0.569 /root/repo/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
       10    1.587    0.159    1.616    0.162 /opt/conda/envs/run_env/lib/python3.7/site-packages/libarchive/extract.py:43(extract_entries)
  4358252    1.517    0.000   26.305    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:161(_load)
