         749887588 function calls (628413937 primitive calls) in 492.602 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      270  102.487    0.380  102.487    0.380 {method 'poll' of 'select.poll' objects}
      504   48.255    0.096   48.351    0.096 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
128407975/52590960   24.655    0.000   43.099    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
31872085/5733   24.227    0.000   69.715    0.012 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
8273436/3645   23.250    0.000   69.693    0.019 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
   183461   20.029    0.000   27.379    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
    43759   12.884    0.000   15.031    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
    21779   12.630    0.001   72.552    0.003 /usr/share/miniconda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
        3   11.405    3.802   11.415    3.805 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
 82747933   11.158    0.000   11.158    0.000 {method 'get' of 'dict' objects}
     3960    9.988    0.003    9.988    0.003 {built-in method time.sleep}
      444    9.454    0.021    9.454    0.021 {built-in method posix.read}
 52570005    9.250    0.000    9.250    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        3    9.129    3.043   20.545    6.848 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
56086292/52590960    8.372    0.000   50.409    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
    11324    6.585    0.001    6.585    0.001 {method 'read' of '_ssl._SSLSocket' objects}
      227    5.522    0.024    5.528    0.024 {built-in method _posixsubprocess.fork_exec}
23326274/23250860    5.204    0.000   18.322    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
48617430/48617170    5.017    0.000    5.150    0.000 {built-in method builtins.isinstance}
  1950705    4.777    0.000    4.777    0.000 {method 'match' of 're.Pattern' objects}
   748043    4.398    0.000    4.398    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
 31971250    4.096    0.000    6.402    0.000 {method 'update' of 'dict' objects}
 52532297    3.993    0.000    3.993    0.000 {built-in method builtins.id}
 20100994    3.928    0.000    3.928    0.000 {built-in method _json.encode_basestring_ascii}
    21761    3.805    0.000   47.414    0.002 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:171(_dump)
  9052028    3.537    0.000    4.968    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
2886442/2871613    3.516    0.000    5.217    0.000 {built-in method builtins.sorted}
    44523    3.093    0.000    3.415    0.000 {method 'read' of '_io.TextIOWrapper' objects}
   183428    2.867    0.000   36.927    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:304(pluck)
     3979    2.786    0.001    2.949    0.001 {method 'read' of '_io.BufferedReader' objects}
  3943831    2.693    0.000   25.090    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
       16    2.573    0.161   42.058    2.629 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
       18    2.555    0.142    3.300    0.183 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:97(<listcomp>)
       98    2.455    0.025    2.459    0.025 {built-in method posix.fork}
    23609    2.410    0.000    2.410    0.000 {method 'search' of 're.Pattern' objects}
    68004    2.289    0.000    2.657    0.000 {built-in method io.open}
   542542    2.003    0.000   56.408    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:161(parse_already_pred)
769386/3868    1.757    0.000   69.458    0.018 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
      217    1.591    0.007  122.503    0.565 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
  4891511    1.582    0.000    1.937    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:716(<genexpr>)
   235967    1.535    0.000    1.589    0.000 {built-in method builtins.eval}
  3965836    1.510    0.000   22.406    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:161(_load)
 17619116    1.353    0.000    1.353    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:190(_deepcopy_atomic)
18500006/18493542    1.307    0.000    1.312    0.000 {built-in method builtins.len}
  3689260    1.288    0.000    1.288    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:167(<genexpr>)
     8619    1.288    0.000    7.969    0.001 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:191(select_lines)
 13199976    1.262    0.000    1.262    0.000 {method 'items' of 'dict' objects}
  3235412    1.261    0.000    2.009    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:207(get_exact_value)
  3805482    1.189    0.000   26.170    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/_collections_abc.py:657(get)
   561234    1.089    0.000   60.527    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:138(filter)
  2731363    1.087    0.000    2.147    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:421(object_hook)
  2655628    1.017    0.000    1.254    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:799(<genexpr>)
 11143149    0.962    0.000    0.962    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:353(<lambda>)
    11660    0.954    0.000    5.251    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:1189(ms_depends)
 11044646    0.945    0.000    0.945    0.000 {method 'append' of 'list' objects}
  1366345    0.893    0.000    0.893    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:701(remove_edge)
    14413    0.881    0.000    0.881    0.000 {method 'findall' of 're.Pattern' objects}
  1044155    0.820    0.000    1.791    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/os.py:676(__getitem__)
  3232268    0.759    0.000    2.762    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:423(name)
   769386    0.739    0.000    1.326    0.000 {method '__reduce_ex__' of 'object' objects}
  1214132    0.710    0.000    1.128    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/_collections_abc.py:742(__iter__)
3037125/3036955    0.704    0.000    0.705    0.000 {built-in method builtins.getattr}
   543818    0.691    0.000    1.352    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:687(__init__)
   547239    0.646    0.000    0.932    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:545(frozen_to_json_friendly)
     8886    0.627    0.000    3.838    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:73(ns_cfg)
   191804    0.627    0.000    0.627    0.000 {built-in method posix.stat}
   183428    0.623    0.000    1.900    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:320(<setcomp>)
    43703    0.622    0.000    0.622    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/decoder.py:284(__init__)
  2890095    0.601    0.000    0.966    0.000 {built-in method builtins.hasattr}
   530880    0.600    0.000    9.533    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:329(filter)
    41514    0.547    0.000    1.712    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:1519(scan_plain)
