         977634965 function calls (806995274 primitive calls) in 666.615 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      944  141.066    0.149  141.066    0.149 {method 'poll' of 'select.poll' objects}
    15097   51.763    0.003   51.763    0.003 {built-in method time.sleep}
203473190/87122352   41.246    0.000   76.306    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1368   35.013    0.026   35.013    0.026 {built-in method posix.read}
      559   27.869    0.050   27.882    0.050 {built-in method _posixsubprocess.fork_exec}
35525078/2527   27.323    0.000   79.661    0.032 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
   234169   26.141    0.000   34.790    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
9259529/2435   24.881    0.000   79.639    0.033 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
    25594   21.257    0.001  125.976    0.005 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
      389   19.732    0.051   19.744    0.051 {built-in method posix.fork}
 86413814   15.162    0.000   15.162    0.000 {method 'get' of 'dict' objects}
95337012/87122352   14.671    0.000   88.457    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
    11596   14.640    0.001   14.640    0.001 {method 'read' of '_ssl._SSLSocket' objects}
 87097976   14.336    0.000   14.336    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    46127   13.330    0.000   17.369    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
52884520/52811088   11.857    0.000   41.689    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
        3   10.470    3.490   17.613    5.871 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
    76060    9.019    0.000    9.411    0.000 {built-in method io.open}
73927583/73927329    7.583    0.000    7.723    0.000 {built-in method builtins.isinstance}
        3    7.132    2.377    7.141    2.380 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
   841444    6.918    0.000    6.918    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
     6029    6.528    0.001    6.687    0.001 {method 'read' of '_io.BufferedReader' objects}
 31781383    6.253    0.000    6.253    0.000 {built-in method _json.encode_basestring_ascii}
    46548    6.173    0.000    6.497    0.000 {method 'read' of '_io.TextIOWrapper' objects}
5566786/5551935    5.684    0.000    8.450    0.000 {built-in method builtins.sorted}
 61283514    4.641    0.000    4.641    0.000 {built-in method builtins.id}
 10120482    4.057    0.000    5.730    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
 32972163    3.669    0.000    3.751    0.000 {method 'update' of 'dict' objects}
   234126    3.581    0.000   48.109    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:304(pluck)
  4268267    3.366    0.000   31.122    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
       21    3.318    0.158   59.386    2.828 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
  7676978    2.777    0.000    3.356    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:716(<genexpr>)
       45    2.744    0.061    4.562    0.101 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:97(<listcomp>)
       30    2.631    0.088    2.640    0.088 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
860461/676    2.525    0.000   79.610    0.118 /opt/conda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
       45    2.463    0.055    2.919    0.065 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:88(<listcomp>)
   583802    2.139    0.000   73.909    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:161(parse_already_pred)
  2916890    2.100    0.000    4.039    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:421(object_hook)
 19411172    1.872    0.000    1.872    0.000 {method 'items' of 'dict' objects}
    25874    1.786    0.000    1.890    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:204(iterencode)
      229    1.725    0.008  146.026    0.638 /root/repo/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
   192545    1.710    0.000    1.710    0.000 {built-in method posix.stat}
