         985802369 function calls (812959093 primitive calls) in 693.817 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      871  117.728    0.135  117.728    0.135 {method 'poll' of 'select.poll' objects}
    16409   54.190    0.003   54.190    0.003 {built-in method time.sleep}
211450484/91021475   46.773    0.000   87.286    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1328   41.598    0.031   41.598    0.031 {built-in method posix.read}
      604   33.698    0.056   33.714    0.056 {built-in method _posixsubprocess.fork_exec}
33560645/2520   28.583    0.000   86.407    0.034 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
8747715/2428   28.301    0.000   86.383    0.036 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
   211472   26.592    0.000   35.199    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
    25448   24.022    0.001  142.464    0.006 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
      347   18.598    0.054   18.610    0.054 {built-in method posix.fork}
99899267/91021475   16.954    0.000  101.326    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
 81574748   16.813    0.000   16.813    0.000 {method 'get' of 'dict' objects}
 90997242   16.613    0.000   16.613    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    11631   15.442    0.001   15.442    0.001 {method 'read' of '_ssl._SSLSocket' objects}
56953307/56887537   14.114    0.000   49.634    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
    45844   12.087    0.000   17.665    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
    75951   11.802    0.000   12.244    0.000 {built-in method io.open}
        3   11.453    3.818   19.532    6.511 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
77599042/77598788    8.591    0.000    8.755    0.000 {built-in method builtins.isinstance}
        3    8.066    2.689    8.077    2.692 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
   794599    7.584    0.000    7.584    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
 33018300    6.864    0.000    6.864    0.000 {built-in method _json.encode_basestring_ascii}
5903753/5889419    6.635    0.000    9.746    0.000 {built-in method builtins.sorted}
    46258    6.365    0.000    6.714    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     6340    5.981    0.001    6.114    0.001 {method 'read' of '_io.BufferedReader' objects}
 58602708    4.966    0.000    4.966    0.000 {built-in method builtins.id}
  9561738    4.203    0.000    5.976    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
 31130530    3.624    0.000    3.717    0.000 {method 'update' of 'dict' objects}
   211433    3.531    0.000   48.095    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:304(pluck)
       30    3.472    0.116    3.484    0.116 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
       49    3.398    0.069    5.610    0.114 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:97(<listcomp>)
  4099251    3.223    0.000   31.836    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
       19    3.216    0.169   58.276    3.067 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
  7546401    3.001    0.000    3.629    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:716(<genexpr>)
   191270    2.839    0.000    2.839    0.000 {built-in method posix.stat}
       49    2.626    0.054    3.174    0.065 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:88(<listcomp>)
