         748978633 function calls (613880268 primitive calls) in 562.831 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      289  183.284    0.634  183.284    0.634 {method 'poll' of 'select.poll' objects}
147928560/60656794   27.671    0.000   48.215    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
33796824/2421   25.059    0.000   75.155    0.031 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
8811358/2421   24.087    0.000   75.136    0.031 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
     7070   23.814    0.003   23.814    0.003 {built-in method time.sleep}
    11714   22.919    0.002   22.919    0.002 {method 'read' of '_ssl._SSLSocket' objects}
   207572   22.843    0.000   30.755    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:643(add_edges_from)
      581   17.481    0.030   17.481    0.030 {built-in method posix.read}
      348   14.830    0.043   14.837    0.043 {built-in method _posixsubprocess.fork_exec}
    25326   14.347    0.001   80.551    0.003 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
 81646498   13.841    0.000   13.841    0.000 {method 'get' of 'dict' objects}
    72270   12.094    0.000   12.387    0.000 {built-in method io.open}
        3   10.460    3.487   19.234    6.411 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
    44171   10.092    0.000   13.973    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
 60632635    9.567    0.000    9.567    0.000 {method 'write' of '_io.TextIOWrapper' objects}
64765518/60656794    9.268    0.000   56.279    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
        3    8.763    2.921    8.773    2.924 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
   801673    5.938    0.000    5.938    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:498(remove_node)
27055630/26998904    5.897    0.000   20.649    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
     4000    5.890    0.001    6.052    0.002 {method 'read' of '_io.BufferedReader' objects}
48284463/48284213    4.666    0.000    4.744    0.000 {built-in method builtins.isinstance}
 23147078    4.595    0.000    4.595    0.000 {built-in method _json.encode_basestring_ascii}
 56037960    4.109    0.000    4.109    0.000 {built-in method builtins.id}
    44502    3.882    0.000    4.126    0.000 {method 'read' of '_io.TextIOWrapper' objects}
  9632224    3.775    0.000    5.333    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
3269878/3255645    3.554    0.000    5.333    0.000 {built-in method builtins.sorted}
 30973076    3.419    0.000    3.572    0.000 {method 'update' of 'dict' objects}
   207533    2.991    0.000   41.480    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:293(pluck)
       19    2.744    0.144   49.278    2.594 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
  4093024    2.680    0.000   24.255    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:165(__getitem__)
       30    2.654    0.088    2.663    0.089 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
       22    2.509    0.114    3.341    0.152 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:98(<listcomp>)
 14308972    2.274    0.000    2.274    0.000 {method 'items' of 'dict' objects}
   570830    1.910    0.000   67.883    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:178(parse_already_pred)
       44    1.836    0.042    1.838    0.042 {built-in method posix.fork}
820374/666    1.833    0.000   75.110    0.113 /opt/conda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
  5390255    1.764    0.000    2.138    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:666(<genexpr>)
    25294    1.589    0.000   59.073    0.002 /root/repo/cf-scripts/conda_forge_tick/utils.py:160(_dump)
      229    1.560    0.007  135.918    0.594 /root/repo/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
   179921    1.491    0.000    1.491    0.000 {built-in method posix.stat}
  2824707    1.419    0.000    3.881    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:410(object_hook)
  4118854    1.355    0.000   21.583    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:150(_load)
 18634185    1.327    0.000    1.327    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:190(_deepcopy_atomic)
  1688300    1.266    0.000    1.266    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:705(remove_edge)
  3763795    1.264    0.000    1.264    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:184(<genexpr>)
15597613/15589223    1.203    0.000    1.209    0.000 {built-in method builtins.len}
  3082439    1.178    0.000    1.434    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:743(<genexpr>)
  3944115    1.128    0.000   25.241    0.000 /opt/conda/envs/run_env/lib/python3.7/_collections_abc.py:657(get)
 12824917    1.061    0.000    1.061    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:353(<lambda>)
   590526    1.000    0.000   71.960    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:155(filter)
   172712    0.939    0.000    2.465    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:125(__init__)
  9885624    0.844    0.000    0.844    0.000 {method 'append' of 'list' objects}
     5563    0.801    0.000    0.801    0.000 {method 'acquire' of '_thread.lock' objects}
   207533    0.738    0.000    2.139    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:309(<setcomp>)
   618635    0.734    0.000    1.290    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:642(__init__)
   820374    0.708    0.000    1.314    0.000 {method '__reduce_ex__' of 'object' objects}
  1295596    0.663    0.000    1.196    0.000 /opt/conda/envs/run_env/lib/python3.7/_collections_abc.py:742(__iter__)
   575614    0.604    0.000    0.863    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:534(frozen_to_json_friendly)
  1513697    0.535    0.000    0.535    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:177(__getitem__)
   557128    0.532    0.000    9.339    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:329(filter)
1978159/1977949    0.477    0.000    0.478    0.000 {built-in method builtins.getattr}
        1    0.466    0.466   20.711   20.711 /root/repo/cf-scripts/conda_forge_tick/auto_tick.py:314(add_replacement_migrator)
    44093    0.458    0.000    0.458    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:284(__init__)
  1567803    0.446    0.000    0.818    0.000 {built-in method builtins.hasattr}
  6252899    0.446    0.000    0.446    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:657(<lambda>)
   819822    0.375    0.000    0.490    0.000 /opt/conda/envs/run_env/lib/python3.7/copyreg.py:87(__newobj__)
  1648991    0.366    0.000    0.366    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:416(__contains__)
   590760    0.334    0.000    0.987    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:50(_parse_bad_attr)
       22    0.328    0.015    0.523    0.024 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:90(<listcomp>)
  1639900    0.328    0.000    1.543    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:274(<genexpr>)
   618627    0.325    0.000    0.556    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:1827(nbunch_iter)
   618654    0.322    0.000    1.612    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:933(__call__)
   834531    0.309    0.000    0.309    0.000 {method 'copy' of 'dict' objects}
   537836    0.306    0.000    0.472    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:399(migrator_uid)
  1601160    0.303    0.000    0.303    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:474(<lambda>)
   819399    0.301    0.000    0.605    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:176(__getstate__)
   215776    0.300    0.000    0.369    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:577(add_edge)
  1123280    0.275    0.000    0.422    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:440(<lambda>)
    24398    0.275    0.000    0.427    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/xonsh/__amalgam__.py:19680(get_detyper)
   276200    0.272    0.000    0.272    0.000 {method 'match' of 're.Pattern' objects}
   411080    0.264    0.000    0.667    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:1053(__init__)
   822160    0.259    0.000    0.447    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:649(<lambda>)
    25615    0.247    0.000    0.335    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:204(iterencode)
   450770    0.239    0.000    0.317    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:666(nodes)
   207533    0.229    0.000    0.599    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:308(<setcomp>)
   582677    0.213    0.000    0.213    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:324(migrator_uid)
  1640680    0.201    0.000    0.202    0.000 {built-in method builtins.issubclass}
   822160    0.188    0.000    0.188    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:649(<listcomp>)
   411080    0.186    0.000    0.419    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:742(__iter__)
   411080    0.182    0.000    0.254    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:365(pred)
   411080    0.180    0.000    0.847    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:907(in_edges)
    21428    0.174    0.000   30.690    0.001 /root/repo/cf-scripts/conda_forge_tick/migrators/version.py:374(filter)
    34578    0.174    0.000    0.179    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/conda/models/version.py:281(__lt__)
       22    0.172    0.008   38.766    1.762 /root/repo/cf-scripts/conda_forge_tick/utils.py:498(dump_graph)
        1    0.170    0.170   91.859   91.859 /root/repo/cf-scripts/conda_forge_tick/auto_tick.py:632(initialize_migrators)
    44265    0.169    0.000    0.169    0.000 {built-in method _codecs.utf_8_decode}
    44171    0.154    0.000   14.839    0.000 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:299(loads)
        1    0.147    0.147    6.650    6.650 /root/repo/cf-scripts/conda_forge_tick/migrators/arch.py:39(__init__)
   203547    0.140    0.000    0.448    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:662(__len__)
    44093    0.132    0.000   19.080    0.000 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:274(load)
   207574    0.124    0.000    0.318    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:906(__init__)
   859638    0.124    0.000    0.124    0.000 {built-in method __new__ of type object at 0x5557b2bc58e0}
   247844    0.123    0.000    0.165    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:401(default)
        1    0.121    0.121    0.342    0.342 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:104(node_link_graph)
      254    0.119    0.000    0.119    0.000 {built-in method builtins.compile}
    70468    0.118    0.000    0.118    0.000 {built-in method _locale.nl_langinfo}
   695906    0.114    0.000    0.114    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/coreviews.py:44(__init__)
    44171    0.112    0.000   14.200    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:332(decode)
   182180    0.109    0.000    0.235    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/jinja2/nodes.py:155(iter_child_nodes)
    70468    0.107    0.000    0.224    0.000 /opt/conda/envs/run_env/lib/python3.7/_bootlocale.py:33(getpreferredencoding)
  1601160    0.107    0.000    0.107    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:655(<lambda>)
   203927    0.106    0.000    0.222    0.000 {built-in method builtins.sum}
    35990    0.106    0.000    0.230    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/jinja2/lexer.py:662(tokeniter)
   687443    0.102    0.000    0.102    0.000 {built-in method builtins.iter}
      420    0.096    0.000    0.096    0.000 {built-in method posix.openpty}
   207555    0.090    0.000    0.208    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:665(__iter__)
   407094    0.090    0.000    0.115    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:663(<genexpr>)
    25326    0.086    0.000   80.637    0.003 /root/repo/cf-scripts/conda_forge_tick/utils.py:437(dump)
   207574    0.086    0.000    0.404    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:841(edges)
   207574    0.085    0.000    0.117    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:344(succ)
    15614    0.080    0.000   35.403    0.002 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:479(filter)
   173303    0.079    0.000    1.531    0.000 /opt/conda/envs/run_env/lib/python3.7/genericpath.py:16(exists)
   450770    0.079    0.000    0.079    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:167(__init__)
    25326    0.078    0.000    0.087    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:259(_make_iterencode)
    44093    0.076    0.000   19.157    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:464(load)
