         954120376 function calls (786086257 primitive calls) in 656.563 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      827  149.726    0.181  149.726    0.181 {method 'poll' of 'select.poll' objects}
    15377   51.162    0.003   51.162    0.003 {built-in method time.sleep}
200345153/85786359   39.197    0.000   72.818    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1264   35.127    0.028   35.127    0.028 {built-in method posix.read}
9122172/2437   29.295    0.000   83.588    0.034 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
34995774/2437   27.014    0.000   83.609    0.034 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
      574   26.827    0.047   26.827    0.047 {built-in method _posixsubprocess.fork_exec}
   209229   24.817    0.000   33.065    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
    25193   20.319    0.001  118.635    0.005 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
    18747   15.473    0.001   15.473    0.001 {method 'read' of '_ssl._SSLSocket' objects}
 84155652   15.355    0.000   15.355    0.000 {method 'get' of 'dict' objects}
      317   14.013    0.044   14.026    0.044 {built-in method posix.fork}
93874341/85786359   14.008    0.000   84.356    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
 85762467   13.550    0.000   13.550    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    44759   12.327    0.000   15.501    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
52039231/51976723   11.604    0.000   40.937    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
        3   10.556    3.519   19.355    6.452 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
        3    8.788    2.929    8.798    2.933 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
    73738    8.612    0.000    8.947    0.000 {built-in method io.open}
69263927/69263674    6.978    0.000    7.096    0.000 {built-in method builtins.isinstance}
   829672    6.886    0.000    6.886    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
 31294623    5.886    0.000    5.886    0.000 {built-in method _json.encode_basestring_ascii}
     7210    5.457    0.001    5.726    0.001 {method 'read' of '_io.BufferedReader' objects}
5503088/5489667    5.405    0.000    7.994    0.000 {built-in method builtins.sorted}
 60369543    4.623    0.000    4.623    0.000 {built-in method builtins.id}
    45182    4.218    0.000    4.494    0.000 {method 'read' of '_io.TextIOWrapper' objects}
