         1012623940 function calls (843771893 primitive calls) in 982.575 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      743  270.963    0.365  270.963    0.365 {method 'poll' of 'select.poll' objects}
      552   63.296    0.115   63.421    0.115 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
    13944   50.702    0.004   50.702    0.004 {built-in method time.sleep}
196369657/83579793   47.024    0.000   87.160    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1152   40.173    0.035   40.173    0.035 {built-in method posix.read}
   235645   36.347    0.000   47.707    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
36883050/5942   34.783    0.000  104.272    0.018 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
      532   34.307    0.064   34.322    0.065 {built-in method _posixsubprocess.fork_exec}
9579154/3850   32.022    0.000  104.234    0.027 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
    25832   25.341    0.001  145.753    0.006 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
 94630256   20.983    0.000   20.983    0.000 {method 'get' of 'dict' objects}
 83555134   18.749    0.000   18.749    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      284   17.744    0.062   17.757    0.063 {built-in method posix.fork}
91129437/83579793   16.742    0.000  101.086    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
    46340   14.707    0.000   20.437    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
48909546/48835841   13.479    0.000   48.048    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
    11576   12.389    0.001   12.389    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        3   12.313    4.104   20.517    6.839 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
    77000    9.748    0.000   10.276    0.000 {built-in method io.open}
   868699    9.281    0.000    9.281    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
74394711/74394456    9.265    0.000    9.486    0.000 {built-in method builtins.isinstance}
        3    8.187    2.729    8.202    2.734 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
    47011    7.119    0.000    7.501    0.000 {method 'read' of '_io.TextIOWrapper' objects}
 30685618    7.057    0.000    7.057    0.000 {built-in method _json.encode_basestring_ascii}
5270022/5255719    7.009    0.000   10.393    0.000 {built-in method builtins.sorted}
 62971948    6.028    0.000    6.028    0.000 {built-in method builtins.id}
     6129    5.856    0.001    6.035    0.001 {method 'read' of '_io.BufferedReader' objects}
       41    5.292    0.129    7.393    0.180 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:97(<listcomp>)
 35558553    5.187    0.000    6.661    0.000 {method 'update' of 'dict' objects}
  1803727    5.173    0.000    5.173    0.000 {method 'match' of 're.Pattern' objects}
 10480393    4.999    0.000    7.156    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
   235602    4.804    0.000   64.706    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:304(pluck)
892644/4147    4.262    0.000  103.941    0.025 /opt/conda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
       21    4.192    0.200   75.235    3.583 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
  4425236    3.827    0.000   36.921    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
  7471935    3.341    0.000    4.018    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:716(<genexpr>)
   608532    2.790    0.000   84.558    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:161(parse_already_pred)
  2942487    2.739    0.000    5.730    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:421(object_hook)
    24849    2.489    0.000    2.489    0.000 {method 'search' of 're.Pattern' objects}
      229    2.462    0.011  179.723    0.785 /root/repo/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
   208258    2.286    0.000    2.286    0.000 {built-in method posix.stat}
 19217585    2.168    0.000    2.168    0.000 {method 'items' of 'dict' objects}
  4451269    2.126    0.000   33.103    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:161(_load)
20308357/20291941    2.018    0.000    2.033    0.000 {built-in method builtins.len}
    25791    1.916    0.000   70.828    0.003 /root/repo/cf-scripts/conda_forge_tick/utils.py:171(_dump)
  1825759    1.848    0.000    1.848    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:701(remove_edge)
 16736752    1.765    0.000    1.765    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:353(<lambda>)
  3328548    1.729    0.000    2.740    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:207(get_exact_value)
  3403300    1.713    0.000    2.085    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:799(<genexpr>)
   166007    1.710    0.000    1.817    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/reader.py:178(get_mark)
 20387525    1.701    0.000    1.701    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:190(_deepcopy_atomic)
  4108380    1.666    0.000    1.666    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:167(<genexpr>)
     8498    1.604    0.000    1.604    0.000 {method 'acquire' of '_thread.lock' objects}
  4288587    1.596    0.000   38.373    0.000 /opt/conda/envs/run_env/lib/python3.7/_collections_abc.py:657(get)
     7737    1.468    0.000    8.354    0.001 /opt/conda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:191(select_lines)
   629684    1.421    0.000   90.240    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:138(filter)
   181370    1.352    0.000    1.400    0.000 {built-in method builtins.eval}
 12376602    1.348    0.000    1.348    0.000 {method 'append' of 'list' objects}
    12208    1.247    0.000    6.794    0.001 /opt/conda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:1189(ms_depends)
   892644    1.157    0.000    1.966    0.000 {method '__reduce_ex__' of 'object' objects}
   235602    1.124    0.000    3.271    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:320(<setcomp>)
   702623    1.088    0.000    2.104    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:687(__init__)
  1454514    1.077    0.000    1.873    0.000 /opt/conda/envs/run_env/lib/python3.7/_collections_abc.py:742(__iter__)
  3083405    1.066    0.000    1.066    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:485(<lambda>)
3207822/3207422    0.994    0.000    0.996    0.000 {built-in method builtins.getattr}
  3325083    0.954    0.000    3.688    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:423(name)
       41    0.949    0.023    1.491    0.036 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:88(<listcomp>)
    13737    0.926    0.000    0.926    0.000 {method 'findall' of 're.Pattern' objects}
  3195505    0.905    0.000    1.468    0.000 {built-in method builtins.hasattr}
  1876334    0.864    0.000    0.864    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:186(__getitem__)
   613477    0.844    0.000    1.212    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:545(frozen_to_json_friendly)
   183130    0.823    0.000    2.991    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:136(__init__)
   595026    0.745    0.000   12.838    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:329(filter)
        1    0.741    0.741   30.547   30.547 /root/repo/cf-scripts/conda_forge_tick/auto_tick.py:313(add_replacement_migrator)
     8033    0.729    0.000    3.160    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:73(ns_cfg)
  3328548    0.694    0.000    0.694    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:842(exact_value)
  7089207    0.663    0.000    0.663    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:703(<lambda>)
    41147    0.649    0.000    2.058    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:1519(scan_plain)
      783    0.580    0.001    0.580    0.001 {built-in method builtins.compile}
   282516    0.576    0.000    0.702    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:574(add_edge)
   572316    0.575    0.000    1.253    0.000 /opt/conda/envs/run_env/lib/python3.7/os.py:676(__getitem__)
       41    0.568    0.014   96.351    2.350 /root/repo/cf-scripts/conda_forge_tick/utils.py:509(dump_graph)
    38568    0.561    0.000    0.845    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/xonsh/__amalgam__.py:19775(get_detyper)
   731222    0.559    0.000    1.243    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/jinja2/nodes.py:155(iter_child_nodes)
    35757    0.536    0.000    0.664    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:204(iterencode)
  1850455    0.520    0.000    0.520    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:406(__contains__)
   733713    0.499    0.000    0.982    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:198(need_more_tokens)
   132149    0.495    0.000    1.074    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/jinja2/lexer.py:662(tokeniter)
   702644    0.487    0.000    2.591    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:1019(__call__)
   887685    0.482    0.000    0.619    0.000 /opt/conda/envs/run_env/lib/python3.7/copyreg.py:87(__newobj__)
  1778500    0.475    0.000    2.154    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:274(<genexpr>)
   702600    0.469    0.000    0.792    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:1848(nbunch_iter)
   629912    0.465    0.000    1.382    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:45(_parse_bad_attr)
   695219    0.461    0.000    0.617    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:656(nodes)
   928567    0.434    0.000    0.434    0.000 {method 'copy' of 'dict' objects}
  1286040    0.421    0.000    0.640    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:440(<lambda>)
   200673    0.412    0.000    0.436    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/reader.py:163(forward)
   574290    0.412    0.000    0.646    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:399(migrator_uid)
   933960    0.407    0.000    0.737    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:695(<lambda>)
   886815    0.397    0.000    0.809    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:187(__getstate__)
   290889    0.393    0.000    0.424    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/yaml/reader.py:99(forward)
   466980    0.385    0.000    0.995    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:1145(__init__)
   755128    0.372    0.000    0.390    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:343(stale_possible_simple_keys)
    46215    0.361    0.000    0.361    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:284(__init__)
    47278    0.358    0.000    1.521    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/parser.py:343(parse_node)
   463218    0.348    0.000    0.425    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:412(default)
  1291815    0.343    0.000    0.541    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/jinja2/nodes.py:137(iter_fields)
    22038    0.341    0.000   40.595    0.002 /root/repo/cf-scripts/conda_forge_tick/migrators/version.py:382(filter)
