         914941249 function calls (753643696 primitive calls) in 715.430 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      630  186.416    0.296  186.416    0.296 {method 'poll' of 'select.poll' objects}
    13846   47.991    0.003   47.991    0.003 {built-in method time.sleep}
190976319/81173532   39.541    0.000   72.158    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1055   36.187    0.034   36.187    0.034 {built-in method posix.read}
      548   30.280    0.055   30.292    0.055 {built-in method _posixsubprocess.fork_exec}
33924062/2676   27.703    0.000   83.099    0.031 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
   199983   27.208    0.000   35.935    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
8841039/2558   25.537    0.000   83.074    0.032 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
    13615   24.058    0.002   24.058    0.002 {method 'read' of '_ssl._SSLSocket' objects}
    25691   19.940    0.001  118.201    0.005 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
 81767742   16.739    0.000   16.739    0.000 {method 'get' of 'dict' objects}
88473818/81173532   14.038    0.000   83.913    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
 81149868   13.875    0.000   13.875    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    45597   12.851    0.000   18.284    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
        3   11.534    3.845   20.958    6.986 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
47061510/46997150   11.026    0.000   38.492    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
    75828    9.780    0.000   10.186    0.000 {built-in method io.open}
      196    9.539    0.049    9.545    0.049 {built-in method posix.fork}
        3    9.409    3.136    9.423    3.141 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
   803228    7.415    0.000    7.415    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
68993703/68993450    7.080    0.000    7.226    0.000 {built-in method builtins.isinstance}
    46125    6.727    0.000    7.039    0.000 {method 'read' of '_io.TextIOWrapper' objects}
 29838509    5.881    0.000    5.881    0.000 {built-in method _json.encode_basestring_ascii}
5051585/5037183    5.375    0.000    9.525    0.000 {built-in method builtins.sorted}
     5722    5.347    0.001    5.507    0.001 {method 'read' of '_io.BufferedReader' objects}
 58199951    4.715    0.000    4.715    0.000 {built-in method builtins.id}
  9664388    4.134    0.000    5.813    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
 30250999    3.733    0.000    3.863    0.000 {method 'update' of 'dict' objects}
   199946    3.526    0.000   48.778    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:304(pluck)
       30    3.346    0.112    3.357    0.112 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
  4206051    3.329    0.000   32.975    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
       18    3.136    0.174   57.051    3.169 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
822587/955    2.923    0.000   83.042    0.087 /opt/conda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
  2886961    2.606    0.000    5.433    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:421(object_hook)
  6664756    2.606    0.000    3.152    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:716(<genexpr>)
       40    2.538    0.063    4.254    0.106 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:97(<listcomp>)
   579926    2.259    0.000   70.964    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:161(parse_already_pred)
   190836    2.244    0.000    2.244    0.000 {built-in method posix.stat}
      229    1.836    0.008  148.590    0.649 /root/repo/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
 17868807    1.794    0.000    1.794    0.000 {method 'items' of 'dict' objects}
  4232225    1.772    0.000   29.657    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:161(_load)
     8761    1.731    0.000    1.731    0.000 {method 'acquire' of '_thread.lock' objects}
        5    1.657    0.331    1.700    0.340 /opt/conda/envs/run_env/lib/python3.7/site-packages/libarchive/extract.py:43(extract_entries)
 16287906    1.521    0.000    1.521    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:353(<lambda>)
 18706911    1.465    0.000    1.465    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:190(_deepcopy_atomic)
    25644    1.463    0.000   61.483    0.002 /root/repo/cf-scripts/conda_forge_tick/utils.py:171(_dump)
16769696/16753857    1.456    0.000    1.469    0.000 {built-in method builtins.len}
  1536742    1.401    0.000    1.401    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:701(remove_edge)
  3874133    1.397    0.000    1.397    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:167(<genexpr>)
  2884197    1.320    0.000    1.610    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:799(<genexpr>)
  4055257    1.287    0.000   34.083    0.000 /opt/conda/envs/run_env/lib/python3.7/_collections_abc.py:657(get)
   156544    1.259    0.000    1.328    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/reader.py:178(get_mark)
   599720    1.137    0.000   75.739    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:138(filter)
 10226980    0.934    0.000    0.934    0.000 {method 'append' of 'list' objects}
   199946    0.876    0.000    2.507    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:320(<setcomp>)
  1326891    0.823    0.000    1.516    0.000 /opt/conda/envs/run_env/lib/python3.7/_collections_abc.py:742(__iter__)
   595738    0.809    0.000    1.592    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:687(__init__)
   822587    0.796    0.000    1.449    0.000 {method '__reduce_ex__' of 'object' objects}
  1721935    0.699    0.000    0.699    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:186(__getitem__)
   584787    0.693    0.000    0.985    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:545(frozen_to_json_friendly)
       40    0.664    0.017    1.056    0.026 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:88(<listcomp>)
  2585302    0.625    0.000    1.053    0.000 {built-in method builtins.hasattr}
2366507/2366117    0.606    0.000    0.608    0.000 {built-in method builtins.getattr}
  2962200    0.601    0.000    0.601    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:485(<lambda>)
   177702    0.587    0.000    2.829    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:136(__init__)
   565708    0.585    0.000   10.591    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:329(filter)
   278204    0.528    0.000    0.627    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:574(add_edge)
        1    0.515    0.515   23.110   23.110 /root/repo/cf-scripts/conda_forge_tick/auto_tick.py:312(add_replacement_migrator)
    40472    0.513    0.000    0.772    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/xonsh/__amalgam__.py:19749(get_detyper)
  5991015    0.511    0.000    0.511    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:703(<lambda>)
    39427    0.478    0.000    2.642    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:1519(scan_plain)
  1641912    0.432    0.000    0.432    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:406(__contains__)
    45468    0.418    0.000    0.418    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:284(__init__)
   821628    0.407    0.000    0.517    0.000 /opt/conda/envs/run_env/lib/python3.7/copyreg.py:87(__newobj__)
   337589    0.392    0.000    0.392    0.000 {method 'match' of 're.Pattern' objects}
  1643660    0.390    0.000    1.712    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:274(<genexpr>)
   595756    0.369    0.000    1.961    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:1019(__call__)
   599950    0.364    0.000    1.134    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:45(_parse_bad_attr)
   676771    0.352    0.000    0.692    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:198(need_more_tokens)
   595716    0.347    0.000    0.609    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:1848(nbunch_iter)
   848968    0.344    0.000    0.344    0.000 {method 'copy' of 'dict' objects}
   546312    0.341    0.000    0.521    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:399(migrator_uid)
   642788    0.337    0.000    0.457    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:656(nodes)
       40    0.335    0.008   73.556    1.839 /root/repo/cf-scripts/conda_forge_tick/utils.py:509(dump_graph)
    26141    0.325    0.000    0.445    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:204(iterencode)
  1084554    0.323    0.000    0.506    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:440(<lambda>)
   821133    0.319    0.000    0.653    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:187(__getstate__)
   791504    0.302    0.000    0.544    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:695(<lambda>)
   190286    0.294    0.000    0.311    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/reader.py:163(forward)
   395750    0.292    0.000    0.749    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:1145(__init__)
      552    0.270    0.000    0.270    0.000 {built-in method builtins.compile}
    21758    0.262    0.000   32.591    0.001 /root/repo/cf-scripts/conda_forge_tick/migrators/version.py:382(filter)
   364214    0.261    0.000    2.911    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:166(check_token)
   696302    0.260    0.000    0.271    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:343(stale_possible_simple_keys)
    44788    0.258    0.000    1.070    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/parser.py:343(parse_node)
       11    0.256    0.023    0.256    0.023 {method 'do_handshake' of '_ssl._SSLSocket' objects}
   199946    0.254    0.000    0.673    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:319(<setcomp>)
   591906    0.247    0.000    0.247    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:307(migrator_uid)
   791504    0.242    0.000    0.242    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:695(<listcomp>)
   447308    0.234    0.000    0.301    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:412(default)
       12    0.229    0.019    0.229    0.019 {method 'connect' of '_socket.socket' objects}
    38104    0.224    0.000    0.230    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/conda/models/version.py:281(__lt__)
  2962200    0.222    0.000    0.222    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:701(<lambda>)
  1156790    0.217    0.000    0.297    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:86(flow_level)
  1644780    0.214    0.000    0.215    0.000 {built-in method builtins.issubclass}
   395750    0.214    0.000    0.289    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:362(pred)
    45847    0.211    0.000    0.211    0.000 {built-in method _codecs.utf_8_decode}
   395750    0.208    0.000    0.497    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:797(__iter__)
    45597    0.204    0.000   19.242    0.000 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:299(loads)
        1    0.198    0.198  106.994  106.994 /root/repo/cf-scripts/conda_forge_tick/auto_tick.py:643(initialize_migrators)
  1097201    0.195    0.000    0.200    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/reader.py:132(peek)
      780    0.194    0.000    0.194    0.000 {built-in method posix.openpty}
   395750    0.192    0.000    0.941    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:903(in_edges)
    64735    0.174    0.000    3.902    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:215(fetch_more_tokens)
   596014    0.174    0.000    0.174    0.000 {built-in method fromkeys}
     1095    0.171    0.000   50.219    0.046 /opt/conda/envs/run_env/lib/python3.7/site-packages/xonsh/__amalgam__.py:15481(iterraw)
    45468    0.170    0.000   26.427    0.001 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:274(load)
   583907    0.165    0.000    0.233    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/parser.py:121(scanner)
    46642    0.162    0.000    0.332    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/jinja2/lexer.py:662(tokeniter)
    72722    0.161    0.000    0.161    0.000 {built-in method _locale.nl_langinfo}
        1    0.156    0.156    8.631    8.631 /root/repo/cf-scripts/conda_forge_tick/migrators/arch.py:41(__init__)
   195806    0.155    0.000    0.514    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:711(__len__)
 44792/70    0.147    0.000    6.842    0.098 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/composer.py:109(compose_node)
        3    0.146    0.049    0.146    0.049 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:537(remove_nodes_from)
    72722    0.145    0.000    0.305    0.000 /opt/conda/envs/run_env/lib/python3.7/_bootlocale.py:33(getpreferredencoding)
   229662    0.144    0.000    0.316    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/jinja2/nodes.py:155(iter_child_nodes)
    45597    0.138    0.000   18.585    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:332(decode)
    15856    0.138    0.000   37.366    0.002 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:466(filter)
   200006    0.136    0.000    0.358    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:992(__init__)
    40277    0.135    0.000    0.337    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:1596(scan_plain_spaces)
  1241485    0.135    0.000    0.135    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:145(reader)
    61462    0.125    0.000    0.263    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:846(scan_to_next_token)
   871332    0.124    0.000    0.124    0.000 {built-in method __new__ of type object at 0x5564e01808e0}
   196321    0.124    0.000    0.258    0.000 {built-in method builtins.sum}
    25691    0.121    0.000  118.321    0.005 /root/repo/cf-scripts/conda_forge_tick/utils.py:448(dump)
   678462    0.120    0.000    0.120    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/coreviews.py:41(__init__)
   642788    0.120    0.000    0.120    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:176(__init__)
   675687    0.117    0.000    0.117    0.000 {built-in method builtins.iter}
        1    0.113    0.113    0.368    0.368 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:103(node_link_graph)
        1    0.111    0.111    0.111    0.111 {method 'recv_into' of '_socket.socket' objects}
    25691    0.110    0.000    0.120    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:259(_make_iterencode)
