         945457303 function calls (779477593 primitive calls) in 666.836 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      930  148.451    0.160  148.451    0.160 {method 'poll' of 'select.poll' objects}
    14524   50.506    0.003   50.506    0.003 {built-in method time.sleep}
196458525/83897929   40.979    0.000   76.696    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1347   34.742    0.026   34.742    0.026 {built-in method posix.read}
      550   29.312    0.053   29.326    0.053 {built-in method _posixsubprocess.fork_exec}
35151298/2447   28.182    0.000   83.633    0.034 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
9162761/2447   27.714    0.000   83.610    0.034 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
    25241   21.581    0.001  126.165    0.005 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
   210231   19.564    0.000   26.897    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
      374   18.261    0.049   18.272    0.049 {built-in method posix.fork}
 83873886   15.269    0.000   15.269    0.000 {method 'write' of '_io.TextIOWrapper' objects}
91701461/83897929   14.944    0.000   88.970    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
 84474461   14.179    0.000   14.179    0.000 {method 'get' of 'dict' objects}
    45441   13.430    0.000   16.196    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
    13494   13.158    0.001   13.158    0.001 {method 'read' of '_ssl._SSLSocket' objects}
50122864/50056555   12.369    0.000   43.567    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
        3   11.781    3.927   21.686    7.229 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
    75010   10.314    0.000   10.625    0.000 {built-in method io.open}
        3    9.889    3.296    9.903    3.301 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
71265298/71265045    7.679    0.000    7.826    0.000 {built-in method builtins.isinstance}
 30690051    6.042    0.000    6.042    0.000 {built-in method _json.encode_basestring_ascii}
   833448    5.943    0.000    5.943    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
5338092/5323085    5.878    0.000    8.671    0.000 {built-in method builtins.sorted}
     5871    5.638    0.001    5.785    0.001 {method 'read' of '_io.BufferedReader' objects}
    45879    5.306    0.000    5.553    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       43    5.102    0.119    7.056    0.164 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:97(<listcomp>)
 60428395    4.933    0.000    4.933    0.000 {built-in method builtins.id}
 10015941    4.122    0.000    5.870    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
       30    3.477    0.116    3.488    0.116 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
 30945279    3.382    0.000    3.499    0.000 {method 'update' of 'dict' objects}
  4331763    3.114    0.000   28.087    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
   210192    2.767    0.000   36.690    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:304(pluck)
       19    2.592    0.136   45.533    2.396 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
  7041363    2.537    0.000    3.068    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:716(<genexpr>)
   599080    2.293    0.000   71.608    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:161(parse_already_pred)
852560/811    2.047    0.000   83.576    0.103 /opt/conda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
      232    1.924    0.008  152.064    0.655 /root/repo/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
 18760498    1.877    0.000    1.877    0.000 {method 'items' of 'dict' objects}
