         904436800 function calls (756317189 primitive calls) in 980.697 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      607  200.253    0.330  200.253    0.330 {method 'poll' of 'select.poll' objects}
      528   66.853    0.127   67.004    0.127 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
170022204/72576631   49.481    0.000   93.332    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
   194501   45.182    0.000   58.445    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
      948   43.184    0.046   43.184    0.046 {built-in method posix.read}
    11895   39.831    0.003   39.831    0.003 {built-in method time.sleep}
8632894/3815   38.462    0.000  116.984    0.031 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
      449   38.381    0.085   38.396    0.086 {built-in method _posixsubprocess.fork_exec}
33257193/5959   38.357    0.000  117.024    0.020 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
    21805   26.638    0.001  158.670    0.007 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
 85938977   24.787    0.000   24.787    0.000 {method 'get' of 'dict' objects}
 72555874   23.019    0.000   23.019    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      234   19.714    0.084   19.724    0.084 {built-in method posix.fork}
79263619/72576631   17.963    0.000  108.300    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
    43842   16.058    0.000   25.214    0.001 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
43256083/43181745   14.711    0.000   51.908    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
        3   14.427    4.809   22.073    7.358 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
   781159   11.410    0.000   11.410    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
    11458   10.620    0.001   10.620    0.001 {method 'read' of '_ssl._SSLSocket' objects}
66051300/66051041    9.980    0.000   10.260    0.000 {built-in method builtins.isinstance}
4672616/4657941    8.501    0.000   12.595    0.000 {built-in method builtins.sorted}
    69823    7.695    0.000    8.392    0.000 {built-in method io.open}
        3    7.627    2.542    7.644    2.548 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
 26571424    7.406    0.000    7.406    0.000 {built-in method _json.encode_basestring_ascii}
  1988719    7.203    0.000    7.203    0.000 {method 'match' of 're.Pattern' objects}
  2733064    7.014    0.000    9.156    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:421(object_hook)
       36    6.695    0.186    9.350    0.260 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:97(<listcomp>)
     5669    6.693    0.001    6.855    0.001 {method 'read' of '_io.BufferedReader' objects}
 56665459    6.478    0.000    6.478    0.000 {built-in method builtins.id}
 32818993    6.058    0.000    8.293    0.000 {method 'update' of 'dict' objects}
   194466    5.649    0.000   77.599    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:304(pluck)
  9445384    5.429    0.000    7.816    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
       17    4.429    0.261   80.294    4.723 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
  4086038    4.275    0.000   40.077    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
  6448455    4.008    0.000    4.737    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:716(<genexpr>)
    44509    3.847    0.000    4.334    0.000 {method 'read' of '_io.TextIOWrapper' objects}
    26066    3.510    0.000    3.510    0.000 {method 'search' of 're.Pattern' objects}
   563844    3.400    0.000   89.558    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:161(parse_already_pred)
      220    2.955    0.013  202.682    0.921 /root/repo/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
803008/4176    2.760    0.000  116.610    0.028 /opt/conda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
    21769    2.626    0.000   74.485    0.003 /root/repo/cf-scripts/conda_forge_tick/utils.py:171(_dump)
  4108051    2.554    0.000   35.812    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:161(_load)
 17123972    2.411    0.000    2.411    0.000 {method 'items' of 'dict' objects}
18912253/18897751    2.388    0.000    2.405    0.000 {built-in method builtins.len}
   236611    2.267    0.000    2.344    0.000 {built-in method builtins.eval}
     8840    2.176    0.000   12.330    0.001 /opt/conda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:191(select_lines)
  3262040    2.101    0.000    3.303    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:207(get_exact_value)
   190460    1.977    0.000    1.977    0.000 {built-in method posix.stat}
  1458381    1.923    0.000    1.923    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:701(remove_edge)
  3830958    1.913    0.000    1.913    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:167(<genexpr>)
 14478196    1.902    0.000    1.902    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:353(<lambda>)
  3950197    1.829    0.000   41.719    0.000 /opt/conda/envs/run_env/lib/python3.7/_collections_abc.py:657(get)
 18384335    1.819    0.000    1.819    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:190(_deepcopy_atomic)
  2803507    1.776    0.000    2.153    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:799(<genexpr>)
   583304    1.689    0.000   96.041    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:138(filter)
     7060    1.666    0.000    1.666    0.000 {method 'acquire' of '_thread.lock' objects}
    12116    1.568    0.000    8.325    0.001 /opt/conda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:1189(ms_depends)
 11472893    1.543    0.000    1.543    0.000 {method 'append' of 'list' objects}
  2724732    1.435    0.000    1.435    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:485(<lambda>)
    14503    1.317    0.000    1.317    0.000 {method 'findall' of 're.Pattern' objects}
   803008    1.263    0.000    2.192    0.000 {method '__reduce_ex__' of 'object' objects}
3165180/3164830    1.243    0.000    1.245    0.000 {built-in method builtins.getattr}
