         938897027 function calls (771128479 primitive calls) in 641.484 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1053  143.941    0.137  143.941    0.137 {method 'poll' of 'select.poll' objects}
    17043   63.974    0.004   63.974    0.004 {built-in method time.sleep}
202636351/87009179   38.484    0.000   71.520    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1497   31.557    0.021   31.557    0.021 {built-in method posix.read}
      585   25.609    0.044   25.623    0.044 {built-in method _posixsubprocess.fork_exec}
33789513/2440   24.600    0.000   72.189    0.030 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
8808931/2440   23.088    0.000   72.169    0.030 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
   207436   20.348    0.000   27.423    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:643(add_edges_from)
    24845   19.497    0.001  115.922    0.005 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
      440   19.194    0.044   19.208    0.044 {built-in method posix.fork}
    73589   19.171    0.000   19.451    0.000 {built-in method io.open}
    11539   13.871    0.001   13.871    0.001 {method 'read' of '_ssl._SSLSocket' objects}
95358339/87009179   13.860    0.000   82.898    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
 86985403   13.153    0.000   13.153    0.000 {method 'write' of '_io.TextIOWrapper' objects}
 80279902   13.151    0.000   13.151    0.000 {method 'get' of 'dict' objects}
    44283   11.560    0.000   15.265    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
53603897/53551993   11.521    0.000   40.689    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
        3    9.275    3.092   17.709    5.903 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
        3    8.422    2.807    8.432    2.811 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
73389472/73389222    7.126    0.000    7.249    0.000 {built-in method builtins.isinstance}
   801175    5.778    0.000    5.778    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:498(remove_node)
     6216    5.686    0.001    5.840    0.001 {method 'read' of '_io.BufferedReader' objects}
 31643561    5.637    0.000    5.637    0.000 {built-in method _json.encode_basestring_ascii}
5616817/5603976    5.134    0.000    7.604    0.000 {built-in method builtins.sorted}
       47    4.285    0.091    6.160    0.131 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:98(<listcomp>)
 58634035    4.281    0.000    4.281    0.000 {built-in method builtins.id}
    44583    4.088    0.000    4.326    0.000 {method 'read' of '_io.TextIOWrapper' objects}
  9629391    3.710    0.000    5.224    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
 28220794    3.142    0.000    3.304    0.000 {method 'update' of 'dict' objects}
   207397    2.848    0.000   37.923    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:293(pluck)
       34    2.834    0.083    2.844    0.084 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
       19    2.759    0.145   48.255    2.540 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
  4090815    2.714    0.000   25.407    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:165(__getitem__)
  7148325    2.536    0.000    3.068    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:666(<genexpr>)
   570470    1.865    0.000   72.853    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:178(parse_already_pred)
     8580    1.814    0.000    1.814    0.000 {method 'acquire' of '_thread.lock' objects}
   183682    1.792    0.000    1.792    0.000 {built-in method posix.stat}
819925/716    1.770    0.000   72.140    0.101 /opt/conda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
 19028892    1.764    0.000    1.764    0.000 {method 'items' of 'dict' objects}
  2819714    1.717    0.000    3.705    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:410(object_hook)
      209    1.528    0.007  139.195    0.666 /root/repo/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
 17202732    1.445    0.000    1.445    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:353(<lambda>)
  4115616    1.359    0.000   22.700    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:150(_load)
 18630073    1.264    0.000    1.264    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:190(_deepcopy_atomic)
  1676364    1.259    0.000    1.259    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:705(remove_edge)
    24798    1.252    0.000   62.635    0.003 /root/repo/cf-scripts/conda_forge_tick/utils.py:160(_dump)
  3746936    1.234    0.000    1.234    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:184(<genexpr>)
  3057574    1.186    0.000    1.444    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:743(<genexpr>)
14463635/14445165    1.098    0.000    1.110    0.000 {built-in method builtins.len}
  3942862    1.095    0.000   26.353    0.000 /opt/conda/envs/run_env/lib/python3.7/_collections_abc.py:657(get)
   590166    0.981    0.000   76.896    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:155(filter)
  9946500    0.836    0.000    0.836    0.000 {method 'append' of 'list' objects}
       47    0.799    0.017    1.258    0.027 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:90(<listcomp>)
   819925    0.740    0.000    1.337    0.000 {method '__reduce_ex__' of 'object' objects}
   618255    0.738    0.000    1.288    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:642(__init__)
   207397    0.734    0.000    2.142    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:309(<setcomp>)
  3420472    0.658    0.000    0.658    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:474(<lambda>)
  1311596    0.657    0.000    1.229    0.000 /opt/conda/envs/run_env/lib/python3.7/_collections_abc.py:742(__iter__)
  1780333    0.622    0.000    0.622    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:177(__getitem__)
   575196    0.604    0.000    0.853    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:534(frozen_to_json_friendly)
2139051/2138591    0.550    0.000    0.552    0.000 {built-in method builtins.getattr}
   556764    0.518    0.000    9.471    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:329(filter)
    41994    0.482    0.000    0.746    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/xonsh/__amalgam__.py:19680(get_detyper)
  1644217    0.457    0.000    0.829    0.000 {built-in method builtins.hasattr}
  6167172    0.442    0.000    0.442    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:657(<lambda>)
        1    0.377    0.377   16.875   16.875 /root/repo/cf-scripts/conda_forge_tick/auto_tick.py:314(add_replacement_migrator)
       47    0.362    0.008   80.256    1.708 /root/repo/cf-scripts/conda_forge_tick/utils.py:498(dump_graph)
  1647893    0.361    0.000    0.361    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:416(__contains__)
   819305    0.353    0.000    0.455    0.000 /opt/conda/envs/run_env/lib/python3.7/copyreg.py:87(__newobj__)
   718101    0.342    0.000    0.466    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:666(nodes)
   337530    0.335    0.000    0.335    0.000 {method 'match' of 're.Pattern' objects}
  1638892    0.334    0.000    1.531    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:274(<genexpr>)
   618274    0.326    0.000    1.614    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:933(__call__)
   618226    0.322    0.000    0.550    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:1827(nbunch_iter)
   590402    0.318    0.000    0.985    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:50(_parse_bad_attr)
   834937    0.310    0.000    0.310    0.000 {method 'copy' of 'dict' objects}
   537472    0.301    0.000    0.452    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:399(migrator_uid)
   215739    0.296    0.000    0.363    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:577(add_edge)
   818868    0.294    0.000    0.596    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:176(__getstate__)
  1122254    0.288    0.000    0.432    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:440(<lambda>)
      677    0.265    0.000    0.265    0.000 {built-in method builtins.compile}
   821622    0.261    0.000    0.453    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:649(<lambda>)
   410811    0.254    0.000    0.655    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:1053(__init__)
  3420472    0.248    0.000    0.248    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:655(<lambda>)
    25152    0.243    0.000    0.348    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:204(iterencode)
   513828    0.236    0.000    0.295    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:401(default)
   207397    0.226    0.000    0.600    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:308(<setcomp>)
  1639836    0.214    0.000    0.215    0.000 {built-in method builtins.issubclass}
    44140    0.207    0.000    0.207    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:284(__init__)
   582256    0.198    0.000    0.198    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:324(migrator_uid)
   171467    0.197    0.000    1.987    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:125(__init__)
      920    0.195    0.000    0.195    0.000 {built-in method posix.openpty}
   821622    0.192    0.000    0.192    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:649(<listcomp>)
   410811    0.186    0.000    0.423    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:742(__iter__)
   410811    0.185    0.000    0.253    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:365(pred)
    50545    0.184    0.000    0.369    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/jinja2/lexer.py:662(tokeniter)
   410811    0.177    0.000    0.832    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:907(in_edges)
    21414    0.176    0.000   29.666    0.001 /root/repo/cf-scripts/conda_forge_tick/migrators/version.py:374(filter)
        1    0.168    0.168   87.693   87.693 /root/repo/cf-scripts/conda_forge_tick/auto_tick.py:632(initialize_migrators)
    44344    0.167    0.000    0.167    0.000 {built-in method _codecs.utf_8_decode}
    34618    0.166    0.000    0.170    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/conda/models/version.py:281(__lt__)
   251387    0.164    0.000    0.347    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/jinja2/nodes.py:155(iter_child_nodes)
     1098    0.157    0.000   66.280    0.060 /opt/conda/envs/run_env/lib/python3.7/site-packages/xonsh/__amalgam__.py:15431(iterraw)
    44283    0.142    0.000   15.861    0.000 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:299(loads)
        1    0.136    0.136    6.150    6.150 /root/repo/cf-scripts/conda_forge_tick/migrators/arch.py:39(__init__)
   203414    0.135    0.000    0.444    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:662(__len__)
        1    0.134    0.134    0.380    0.380 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:104(node_link_graph)
   718101    0.124    0.000    0.124    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:167(__init__)
    44140    0.122    0.000   20.290    0.000 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:274(load)
   207463    0.122    0.000    0.316    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:906(__init__)
   872897    0.118    0.000    0.118    0.000 {built-in method __new__ of type object at 0x55a5631798e0}
    70254    0.115    0.000    0.115    0.000 {built-in method _locale.nl_langinfo}
       47    0.112    0.002   79.894    1.700 /root/repo/cf-scripts/conda_forge_tick/utils.py:471(dump_graph_json)
   695521    0.109    0.000    0.109    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/coreviews.py:44(__init__)
   203933    0.106    0.000    0.222    0.000 {built-in method builtins.sum}
      585    0.106    0.000   57.436    0.098 /opt/conda/envs/run_env/lib/python3.7/subprocess.py:1412(_execute_child)
    44283    0.103    0.000   15.485    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:332(decode)
   694194    0.103    0.000    0.103    0.000 {built-in method builtins.iter}
    70254    0.098    0.000    0.213    0.000 /opt/conda/envs/run_env/lib/python3.7/_bootlocale.py:33(getpreferredencoding)
    24845    0.096    0.000    0.106    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:259(_make_iterencode)
   207444    0.092    0.000    0.211    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:665(__iter__)
   207463    0.091    0.000    0.407    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:841(edges)
   387164    0.090    0.000    0.136    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/jinja2/nodes.py:137(iter_fields)
   406828    0.088    0.000    0.114    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:663(<genexpr>)
   207463    0.087    0.000    0.118    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:344(succ)
    24845    0.084    0.000  116.006    0.005 /root/repo/cf-scripts/conda_forge_tick/utils.py:437(dump)
    15606    0.084    0.000   41.357    0.003 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:479(filter)
    23887    0.081    0.000    0.125    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/jinja2/nodes.py:115(__init__)
