         708762614 function calls (594069161 primitive calls) in 535.630 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      141  119.912    0.850  119.912    0.850 {method 'poll' of 'select.poll' objects}
      504   52.444    0.104   52.557    0.104 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
31874036/5777   28.116    0.000   79.565    0.014 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
117054202/47122308   25.542    0.000   43.166    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
8273520/3687   25.520    0.000   79.541    0.022 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
   183461   21.772    0.000   30.087    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
        3   13.386    4.462   13.396    4.465 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
 82764941   12.861    0.000   12.861    0.000 {method 'get' of 'dict' objects}
    21887   12.500    0.001   74.020    0.003 /usr/share/miniconda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
        3   11.888    3.963   25.286    8.429 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
    31256   11.616    0.000   11.616    0.000 {method 'read' of '_ssl._SSLSocket' objects}
    43761   10.624    0.000   13.938    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
 47101285    9.237    0.000    9.237    0.000 {method 'write' of '_io.TextIOWrapper' objects}
49743250/47122308    8.491    0.000   50.724    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
      294    7.789    0.026    7.789    0.026 {built-in method posix.read}
     2778    6.819    0.002    6.819    0.002 {built-in method time.sleep}
      195    5.595    0.029    5.601    0.029 {built-in method _posixsubprocess.fork_exec}
  1938191    5.471    0.000    5.471    0.000 {method 'match' of 're.Pattern' objects}
43147569/43147309    5.127    0.000    5.267    0.000 {built-in method builtins.isinstance}
   748039    4.887    0.000    4.887    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
 51993259    4.616    0.000    4.616    0.000 {built-in method builtins.id}
17797777/17724996    4.548    0.000   15.815    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
 31972201    4.547    0.000    7.183    0.000 {method 'update' of 'dict' objects}
  9052351    4.168    0.000    5.828    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
 18336235    4.090    0.000    4.090    0.000 {built-in method _json.encode_basestring_ascii}
2400059/2384954    3.398    0.000    5.161    0.000 {built-in method builtins.sorted}
   183428    3.066    0.000   40.701    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:304(pluck)
  3943910    3.025    0.000   23.583    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
     4001    2.925    0.001    3.082    0.001 {method 'read' of '_io.BufferedReader' objects}
       16    2.829    0.177   47.062    2.941 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
    24187    2.823    0.000    2.823    0.000 {method 'search' of 're.Pattern' objects}
    44537    2.737    0.000    3.040    0.000 {method 'read' of '_io.TextIOWrapper' objects}
    67855    2.293    0.000    2.647    0.000 {built-in method io.open}
   542546    2.149    0.000   60.158    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:161(parse_already_pred)
769592/4010    1.982    0.000   79.266    0.020 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
  2731974    1.974    0.000    3.313    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:421(object_hook)
      221    1.700    0.008  134.991    0.611 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
 17620744    1.622    0.000    1.622    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:190(_deepcopy_atomic)
   236108    1.614    0.000    1.677    0.000 {built-in method builtins.eval}
  4513031    1.605    0.000    1.996    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:716(<genexpr>)
    33355    1.586    0.000    1.669    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:204(iterencode)
  3966136    1.531    0.000   20.565    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:161(_load)
18291747/18286482    1.525    0.000    1.529    0.000 {built-in method builtins.len}
  3242332    1.496    0.000    2.442    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:207(get_exact_value)
     8711    1.484    0.000    9.038    0.001 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:191(select_lines)
 12218332    1.361    0.000    1.361    0.000 {method 'items' of 'dict' objects}
  3689452    1.359    0.000    1.359    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:167(<genexpr>)
  3813027    1.326    0.000   24.818    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/_collections_abc.py:657(get)
        3    1.262    0.421    1.323    0.441 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/libarchive/extract.py:43(extract_entries)
   561238    1.183    0.000   64.760    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:138(filter)
   191647    1.130    0.000    1.130    0.000 {built-in method posix.stat}
  2655628    1.124    0.000    1.388    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:799(<genexpr>)
    11812    1.110    0.000    6.171    0.001 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:1189(ms_depends)
    21872    1.107    0.000   51.782    0.002 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:171(_dump)
 11018211    1.093    0.000    1.093    0.000 {method 'append' of 'list' objects}
    14419    1.024    0.000    1.024    0.000 {method 'findall' of 're.Pattern' objects}
 10236175    0.999    0.000    0.999    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:353(<lambda>)
  1366345    0.993    0.000    0.993    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:701(remove_edge)
       13    0.966    0.074    1.599    0.123 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:97(<listcomp>)
  1063884    0.947    0.000    2.083    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/os.py:676(__getitem__)
  3239188    0.907    0.000    3.343    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:423(name)
   769592    0.873    0.000    1.531    0.000 {method '__reduce_ex__' of 'object' objects}
   284275    0.838    0.000    0.933    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:574(add_edge)
2994092/2993972    0.836    0.000    0.836    0.000 {built-in method builtins.getattr}
   543813    0.800    0.000    1.535    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:687(__init__)
       27    0.756    0.028    0.757    0.028 {built-in method posix.fork}
  1217846    0.745    0.000    1.262    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/_collections_abc.py:742(__iter__)
   183428    0.720    0.000    2.157    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:320(<setcomp>)
   547247    0.703    0.000    1.024    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:545(frozen_to_json_friendly)
     8988    0.700    0.000    4.363    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:73(ns_cfg)
  2813006    0.699    0.000    1.127    0.000 {built-in method builtins.hasattr}
   530880    0.663    0.000   10.641    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:329(filter)
  3242332    0.650    0.000    0.650    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:842(exact_value)
    39771    0.595    0.000    1.851    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:1519(scan_plain)
   792834    0.575    0.000    1.283    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/nodes.py:155(iter_child_nodes)
   139786    0.499    0.000    1.080    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/lexer.py:662(tokeniter)
  5640811    0.483    0.000    0.483    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:703(<lambda>)
        9    0.481    0.053    0.481    0.053 {method 'do_handshake' of '_ssl._SSLSocket' objects}
  1338896    0.471    0.000    0.471    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:186(__getitem__)
  2099438    0.459    0.000    0.459    0.000 {method 'decode' of 'bytes' objects}
        1    0.449    0.449   21.555   21.555 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/auto_tick.py:313(add_replacement_migrator)
  2079174    0.446    0.000    0.875    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/os.py:758(decode)
   680921    0.429    0.000    0.831    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:198(need_more_tokens)
   764759    0.409    0.000    0.519    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/copyreg.py:87(__newobj__)
  1064715    0.406    0.000    0.695    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/os.py:754(encode)
  1048000    0.405    0.000    0.837    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/os.py:699(__iter__)
   311576    0.389    0.000    0.421    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/reader.py:99(forward)
     3810    0.383    0.000    0.383    0.000 {method 'acquire' of '_thread.lock' objects}
      462    0.378    0.001    0.378    0.001 {built-in method builtins.compile}
   561460    0.371    0.000    1.092    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:45(_parse_bad_attr)
   543829    0.368    0.000    1.903    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:1019(__call__)
  1532518    0.366    0.000    1.753    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:274(<genexpr>)
  1404601    0.363    0.000    0.555    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/nodes.py:137(iter_fields)
      855    0.354    0.000    0.354    0.000 {method 'recv_into' of '_socket.socket' objects}
   512448    0.353    0.000    0.541    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:399(migrator_uid)
   183997    0.350    0.000    0.371    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/reader.py:163(forward)
   543808    0.343    0.000    0.574    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:1848(nbunch_iter)
  1518923    0.342    0.000    0.342    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:406(__contains__)
   763977    0.341    0.000    0.658    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:187(__getstate__)
      498    0.341    0.001    0.341    0.001 {method 'update' of '_hashlib.HASH' objects}
   806023    0.332    0.000    0.332    0.000 {method 'copy' of 'dict' objects}
   370875    0.327    0.000    3.717    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:166(check_token)
    45389    0.323    0.000    1.296    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/parser.py:343(parse_node)
    23522    0.321    0.000    0.508    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/xonsh/__amalgam__.py:19775(get_detyper)
       10    0.321    0.032    0.321    0.032 {built-in method _socket.getaddrinfo}
   986064    0.312    0.000    0.459    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:440(<lambda>)
   701364    0.305    0.000    0.319    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:343(stale_possible_simple_keys)
  1518735    0.302    0.000    0.302    0.000 {method 'startswith' of 'str' objects}
   720744    0.301    0.000    0.503    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:695(<lambda>)
   122754    0.287    0.000    1.288    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:36(__call__)
   122754    0.284    0.000    0.640    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:397(_build_components)
   360372    0.273    0.000    0.741    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:1145(__init__)
   199682    0.271    0.000    0.609    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:1146(name)
    27684    0.267    0.000    1.117    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/scanner.py:1270(scan_plain)
   203597    0.263    0.000    0.263    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:531(check_bad_chrs)
       10    0.262    0.026    0.262    0.026 {method 'connect' of '_socket.socket' objects}
  1153776    0.261    0.000    0.363    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:86(flow_level)
    43718    0.261    0.000    0.261    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/decoder.py:284(__init__)
   451345    0.257    0.000    0.498    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/scanner.py:145(need_more_tokens)
   183428    0.256    0.000    0.666    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:319(<setcomp>)
   334792    0.255    0.000    0.334    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/graph.py:656(nodes)
       13    0.248    0.019    0.394    0.030 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:88(<listcomp>)
   360372    0.235    0.000    0.977    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:903(in_edges)
  1085930    0.235    0.000    0.238    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/reader.py:132(peek)
   984035    0.233    0.000    0.233    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:485(<lambda>)
    65334    0.232    0.000    3.446    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:215(fetch_more_tokens)
   552228    0.231    0.000    0.231    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/core.py:307(migrator_uid)
        1    0.231    0.231   89.587   89.587 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/auto_tick.py:645(initialize_migrators)
261840/463    0.230    0.000    3.137    0.007 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/visitor.py:28(visit)
  1150152    0.219    0.000    0.219    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/reader.py:87(peek)
   360372    0.218    0.000    0.291    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:362(pred)
   274335    0.218    0.000    2.670    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/scanner.py:113(check_token)
  1534625    0.215    0.000    0.216    0.000 {built-in method builtins.issubclass}
 45390/50    0.215    0.000    7.179    0.144 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/composer.py:109(compose_node)
    73736    0.215    0.000    0.351    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/nodes.py:115(__init__)
   166188    0.212    0.000    1.340    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:136(__init__)
   360372    0.212    0.000    0.482    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:797(__iter__)
    22120    0.210    0.000   34.858    0.002 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/version.py:382(filter)
    44157    0.209    0.000    0.209    0.000 {built-in method _codecs.utf_8_decode}
   590521    0.208    0.000    0.288    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/parser.py:121(scanner)
1121234/1121225    0.204    0.000    0.204    0.000 {method 'encode' of 'str' objects}
  1015030    0.204    0.000    1.012    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/_collections_abc.py:719(__iter__)
    43761    0.203    0.000   14.729    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/__init__.py:299(loads)
    38308    0.203    0.000    0.209    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/version.py:281(__lt__)
   720744    0.202    0.000    0.202    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:695(<listcomp>)
   104509    0.197    0.000    1.516    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/lexer.py:618(wrap)
178558/1676    0.196    0.000    0.810    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/nodes.py:175(find_all)
   458929    0.187    0.000    0.187    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/scanner.py:279(stale_possible_simple_keys)
  1248215    0.186    0.000    0.186    0.000 {method 'lstrip' of 'str' objects}
     8364    0.185    0.000    0.185    0.000 {method 'write' of '_io.BufferedWriter' objects}
    56981    0.183    0.000    0.295    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:1068(get_value)
   122754    0.182    0.000    0.849    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/models/match_spec.py:173(__init__)
        1    0.178    0.178    5.955    5.955 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/arch.py:41(__init__)
    38730    0.175    0.000    0.465    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/scanner.py:1311(scan_plain_spaces)
148257/6558    0.172    0.000    0.962    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/visitor.py:35(generic_visit)
    43718    0.167    0.000   17.920    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/__init__.py:274(load)
    39969    0.164    0.000    0.407    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:1596(scan_plain_spaces)
  1249401    0.162    0.000    0.162    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:145(reader)
   544257    0.161    0.000    0.161    0.000 {built-in method fromkeys}
    35697    0.160    0.000    0.652    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/parser.py:273(parse_node)
   157264    0.156    0.000    0.240    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/reader.py:178(get_mark)
30548/29342    0.155    0.000    0.825    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda/exports.py:181(__call__)
   176944    0.154    0.000    0.488    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:711(__len__)
   532963    0.151    0.000    0.151    0.000 {method 'split' of 'str' objects}
    54184    0.150    0.000    2.039    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/scanner.py:156(fetch_more_tokens)
    62591    0.145    0.000    0.319    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:846(scan_to_next_token)
   889857    0.145    0.000    0.145    0.000 {built-in method __new__ of type object at 0x5629f92fc8e0}
   747137    0.145    0.000    0.145    0.000 {built-in method builtins.iter}
    43761    0.144    0.000   14.232    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/decoder.py:332(decode)
  1266390    0.141    0.000    0.141    0.000 {method 'rstrip' of 'str' objects}
      307    0.139    0.000    0.243    0.001 {method 'get_single_node' of '_yaml.CParser' objects}
        1    0.135    0.135    0.351    0.351 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:103(node_link_graph)
    66398    0.134    0.000    0.265    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/_bootlocale.py:33(getpreferredencoding)
    66398    0.131    0.000    0.131    0.000 {built-in method _locale.nl_langinfo}
   636063    0.129    0.000    0.129    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:327(next_possible_simple_key)
    39929    0.127    0.000    0.458    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/composer.py:142(compose_scalar_node)
   183457    0.126    0.000    0.350    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:992(__init__)
   203900    0.124    0.000    0.169    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/lexer.py:275(test)
     9377    0.123    0.000    0.123    0.000 {method 'splitlines' of 'str' objects}
   183457    0.122    0.000    0.472    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:837(edges)
   132135    0.122    0.000    6.174    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/parser.py:135(check_event)
94768/92138    0.122    0.000    0.251    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/constructor.py:67(construct_object)
       13    0.121    0.009   27.373    2.106 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:509(dump_graph)
288068/169865    0.121    0.000    2.392    0.000 {built-in method builtins.next}
   261840    0.120    0.000    0.196    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/visitor.py:20(get_visitor)
    25033    0.119    0.000    2.605    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/parser.py:569(parse_block_mapping_key)
   155742    0.119    0.000    0.189    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/reader.py:114(get_mark)
   177358    0.118    0.000    0.243    0.000 {built-in method builtins.sum}
    65286    0.116    0.000    0.183    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/posixpath.py:75(join)
    20023    0.116    0.000    0.268    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/scanner.py:618(fetch_value)
   609514    0.115    0.000    0.115    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/coreviews.py:41(__init__)
39247/10033    0.114    0.000    0.519    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/jinja2/visitor.py:52(generic_visit)
   589878    0.112    0.000    0.112    0.000 {method 'group' of 're.Match' objects}
    20019    0.110    0.000    2.529    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/parser.py:598(parse_block_mapping_value)
8473/5051    0.110    0.000   16.380    0.003 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/conda_build/metadata.py:1657(get_recipe_text)
    46223    0.108    0.000    0.239    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/ruamel/yaml/resolver.py:357(resolve)
   155429    0.106    0.000    0.150    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:412(default)
263486/195173    0.106    0.000   13.503    0.000 {method 'join' of 'str' objects}
    54184    0.105    0.000    0.274    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/yaml/scanner.py:752(scan_to_next_token)
   183457    0.104    0.000    0.136    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:341(succ)
    43718    0.101    0.000   18.021    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:475(load)
   183441    0.101    0.000    0.231    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:714(__iter__)
   353888    0.097    0.000    0.124    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:712(<genexpr>)
   313913    0.096    0.000    0.116    0.000 {built-in method builtins.setattr}
