         813282491 function calls (681075618 primitive calls) in 720.418 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      227  208.751    0.920  208.751    0.920 {method 'poll' of 'select.poll' objects}
      504   60.446    0.120   60.560    0.120 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
37994159/5607   38.361    0.000  104.757    0.019 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
132984343/54552355   32.884    0.000   56.942    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
9868443/3581   30.912    0.000  104.726    0.029 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
   217411   27.704    0.000   38.169    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
    11633   20.854    0.002   20.854    0.002 {method 'read' of '_ssl._SSLSocket' objects}
 95941691   18.179    0.000   18.179    0.000 {method 'get' of 'dict' objects}
    22394   16.733    0.001   94.494    0.004 /usr/share/miniconda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
        3   14.047    4.682   26.867    8.956 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
      465   13.580    0.029   13.580    0.029 {built-in method posix.read}
        3   12.807    4.269   12.818    4.273 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
    42342   11.128    0.000   15.558    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
     4277   11.007    0.003   11.007    0.003 {built-in method time.sleep}
 54530993   10.976    0.000   10.976    0.000 {method 'write' of '_io.TextIOWrapper' objects}
58275097/54552355   10.958    0.000   66.454    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
      288    7.470    0.026    7.480    0.026 {built-in method _posixsubprocess.fork_exec}
24780533/24667617    7.061    0.000   24.632    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
   895031    6.985    0.000    6.985    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
50723487/50723226    6.483    0.000    6.663    0.000 {built-in method builtins.isinstance}
 62276337    5.862    0.000    5.862    0.000 {built-in method builtins.id}
 10792493    5.366    0.000    7.559    0.000 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
 20818725    5.343    0.000    5.343    0.000 {built-in method _json.encode_basestring_ascii}
  1721233    5.334    0.000    5.334    0.000 {method 'match' of 're.Pattern' objects}
 34898785    5.088    0.000    7.508    0.000 {method 'update' of 'dict' objects}
   217372    4.583    0.000   52.873    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:304(pluck)
3113179/3097621    4.061    0.000    6.243    0.000 {built-in method builtins.sorted}
  4647797    3.649    0.000   25.318    0.000 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
916004/3612    3.581    0.000  104.445    0.029 /usr/share/miniconda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
       19    3.519    0.185   62.439    3.286 /home/runner/work/autotick-bot/autotick-bot/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
     4070    3.157    0.001    3.341    0.001 {method 'read' of '_io.BufferedReader' objects}
    67607    3.036    0.000    3.331    0.000 {built-in method io.open}
