         1522967163 function calls (1257885221 primitive calls) in 1201.093 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2522  334.136    0.132  334.136    0.132 {method 'poll' of 'select.poll' objects}
    38356  130.166    0.003  130.166    0.003 {built-in method time.sleep}
     3627   78.606    0.022   78.606    0.022 {built-in method posix.read}
360675462/162642871   75.613    0.000  148.122    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
     1456   68.937    0.047   68.937    0.047 {built-in method _posixsubprocess.fork_exec}
     1036   48.283    0.047   48.323    0.047 {built-in method posix.fork}
    25647   39.021    0.002   39.021    0.002 {method 'read' of '_ssl._SSLSocket' objects}
    25434   38.970    0.002  233.304    0.009 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
128685455/128564373   29.111    0.000  104.341    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
183093179/162642871   28.083    0.000  169.945    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
8883837/2680   25.533    0.000   75.600    0.028 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
34107008/2680   25.524    0.000   75.636    0.028 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
162620369   24.021    0.000   24.021    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   209075   20.510    0.000   27.978    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:643(add_edges_from)
140432237/140431985   14.421    0.000   14.653    0.000 {built-in method builtins.isinstance}
 82574973   13.109    0.000   13.109    0.000 {method 'get' of 'dict' objects}
    45250   11.318    0.000   15.412    0.000 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
        3   10.960    3.653   20.622    6.874 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
12253208/12237702   10.524    0.000   15.541    0.000 {built-in method builtins.sorted}
    80477   10.497    0.000   10.819    0.000 {built-in method io.open}
        3    9.651    3.217    9.661    3.220 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
    14257    9.129    0.001    9.434    0.001 {method 'read' of '_io.BufferedReader' objects}
 56199048    9.043    0.000    9.043    0.000 {built-in method _json.encode_basestring_ascii}
      116    8.713    0.075   13.447    0.116 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:98(<listcomp>)
   807474    5.798    0.000    5.798    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:498(remove_node)
      116    5.177    0.045    6.301    0.054 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:90(<listcomp>)
 66506366    5.102    0.000    5.102    0.000 {built-in method builtins.id}
 12362514    4.683    0.000    5.621    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:666(<genexpr>)
    46409    4.354    0.000    4.602    0.000 {method 'read' of '_io.TextIOWrapper' objects}
    23892    4.158    0.000    4.158    0.000 {method 'acquire' of '_thread.lock' objects}
  9711519    3.771    0.000    5.334    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
 30941078    3.270    0.000    3.471    0.000 {method 'update' of 'dict' objects}
       30    3.230    0.108    3.241    0.108 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
   209036    2.914    0.000   38.633    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:304(pluck)
 29854814    2.913    0.000    2.913    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:353(<lambda>)
 32305308    2.855    0.000    2.855    0.000 {method 'items' of 'dict' objects}
       19    2.743    0.144   48.094    2.531 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
  4181730    2.698    0.000   25.875    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
  2863503    2.470    0.000    4.094    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:421(object_hook)
   575142    1.965    0.000   67.596    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:161(parse_already_pred)
826893/1110    1.903    0.000   75.575    0.068 /opt/conda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
